slice,candidate,mid_window,par_type,prob_band,n,brier_cal,logloss_cal,mean_pred,actual_wr,gap_pp,target_above_par,venue_chase_success,batting_team_venue_wr,venue_chase_bucket,team_venue_bucket,venue_score_bucket
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,00_50,150,0.15369219445938304,0.44410231151257706,0.2576424296325028,0.3466666666666667,-8.90242370341639,0.4358515310014176,0.5310256416830653,0.4947058823529413,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,50_60,61,0.24622439623597708,0.685513555980737,0.5393289839835722,0.6229508196721312,-8.362183568855897,2.844170430110747,0.5304157906926135,0.5,,neutral_team_venue,
mid_window+par_type+team_venue_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,80_100,269,0.07620310117210838,0.23868392162145263,0.9507296124769702,0.9033457249070632,4.738388756990696,0.21496603233442227,0.538331494676949,0.49904246930269236,,neutral_team_venue,
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,00_50,861,0.07764395124464962,0.26871491300019734,0.1648989136526952,0.08246225319396051,8.24366604587347,45.52007184582346,0.5705072565951057,0.5029967541917486,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,50_60,53,0.2488077423286137,0.6907519946530182,0.5566267619721064,0.5283018867924528,2.832487517965354,28.792780398322858,0.5603261387459499,0.616878589007383,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,60_70,107,0.1804139412703702,0.5493994357463072,0.6536795111280589,0.794392523364486,-14.071301223642706,34.86065362467232,0.5781571102832787,0.6081623323852091,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,70_80,46,0.0790332376471459,0.3197010641207216,0.7574341144531447,0.9565217391304348,-19.908762467729012,42.77743406955364,0.5748979281587977,0.5221661490683231,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,high_target,80_100,81,0.014918109160340353,0.11601297210578063,0.8923248586196187,1.0,-10.767514138038125,34.84380794103017,0.5325035047257272,0.502689594356261,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,00_50,107,0.4705293008104415,1.2361297292857094,0.3268330415733554,1.0,-67.31669584266446,-31.699956686157893,0.35832542022756414,0.49688473520249227,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,70_80,73,0.0838111268767461,0.33394138917296234,0.7511968962502583,0.958904109589041,-20.77072133387827,-31.319747375911753,0.5596323311391805,0.5934931506849317,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,low_target,80_100,409,0.07178820679811519,0.32455055632285,0.9389668305669753,0.9315403422982885,0.7426488268686748,-52.75110611259395,0.4688597310451187,0.5204796833158691,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,00_50,415,0.1450630181649694,0.44454375521372175,0.2327344142584959,0.2216867469879518,1.1047667270544097,7.227274916897118,0.5409414903530244,0.47391583139279814,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,50_60,101,0.22425872824087303,0.6412556738928084,0.5537740819019298,0.7623762376237624,-20.86021557218326,-1.880564359266061,0.5429019230969147,0.47277227722772275,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,60_70,119,0.21952201703337645,0.6314420746655727,0.650043131924938,0.6890756302521008,-3.9032498327162823,-0.7138965378657356,0.513925253529401,0.47220888355342133,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,70_80,162,0.13988102860348267,0.4587806883400879,0.7531417125113716,0.8518518518518519,-9.871013934048023,-5.37220042293162,0.5577791890025066,0.4713938325049436,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,early_7_11,par_target,80_100,289,0.05391145717949274,0.20068264154054952,0.914938269491179,0.9377162629757786,-2.2777993484599635,-3.208133849453256,0.5581125985248163,0.5097177908596594,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,00_50,681,0.05459242242832173,0.2034468397092582,0.15072572084563554,0.023494860499265784,12.723086034636976,46.24487798853541,0.5678847325826456,0.4995599735427002,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,high_target,80_100,147,0.017979783867838797,0.10680802472640182,0.9186398215974554,0.9863945578231292,-6.775473622567385,38.67986186778705,0.5523758806071731,0.5256691899817572,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,low_target,80_100,280,0.04758372285710566,0.17974570010893334,0.9427408262330007,0.9464285714285714,-0.3687745195570691,-41.83183830729261,0.4756429556671153,0.531344954648526,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,00_50,328,0.09791846734353334,0.320760879380432,0.21550151068898382,0.16463414634146342,5.08673643475204,5.572653094925037,0.5412209042129934,0.47375572180091546,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,50_60,64,0.2465166414099837,0.6860981810645597,0.5391900797855742,0.609375,-7.018492021442579,3.2577249411993057,0.5297460988909939,0.5067708333333333,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,70_80,53,0.07028576210103829,0.30257884751827996,0.7552189883532542,0.9811320754716981,-22.591308711844395,-0.07043382997630353,0.5561980265975686,0.4342767295597484,,,unknown
mid_window+par_type+venue_score_bucket+prob_band,death_plus_v7_gap_mid,late_12_15,par_target,80_100,389,0.05498462398591226,0.18736525416020952,0.9448762810769084,0.9331619537275064,1.171432734940192,-2.793262324305471,0.5559628296389406,0.48936111018373224,,,unknown
