overs,score,wickets,saved_model,scorecard_replay,router_raw,phase,rule,b1,b1_balls,b2,b2_balls,set_batter_exposure,balls_since_wicket,partnership_solidity,runs_last_12,runs_last_18,wickets_last_12,v7_raw,v7_cal
12.2,106,2,0.225571983564701,0.3696940641901713,0.3696940641901713,mid,,Ishan Kishan,29,Heinrich Klaasen,18,29.0,28.0,0.8183333333333334,27.0,40.0,0.0,0.4936278817842889,0.4936278817842889
12.3,107,2,0.2109481660248372,0.3494854390305049,0.3494854390305049,mid,,Ishan Kishan,30,Heinrich Klaasen,18,30.0,29.0,0.8366666666666667,22.0,37.0,0.0,0.47786207926866076,0.47786207926866076
12.3,108,2,0.2420295649288587,0.3964479458544944,0.3964479458544944,mid,,Ishan Kishan,30,Heinrich Klaasen,18,30.0,29.0,0.8366666666666667,22.0,37.0,0.0,0.5085467177874745,0.5085467177874745
12.4,109,2,0.2285692530857677,0.3725891621760729,0.3725891621760729,mid,,Ishan Kishan,30,Heinrich Klaasen,19,30.0,30.0,0.8500000000000001,19.0,38.0,0.0,0.5057061566911143,0.5057061566911143
12.5,113,2,0.3410141098764023,0.5704597357559769,0.5389756504894755,mid,inn2_par_pp_mid,Ishan Kishan,30,Heinrich Klaasen,20,30.0,31.0,0.8633333333333333,22.0,36.0,0.0,0.5332991734475554,0.5332991734475554
13.0,114,2,0.3303772537037778,0.5308344585108322,0.5132810998754515,mid,inn2_par_pp_mid,Ishan Kishan,31,Heinrich Klaasen,20,31.0,32.0,0.8816666666666666,22.0,36.0,0.0,0.5283411286247024,0.5283411286247024
13.1,115,2,0.3168869899898557,0.4788373801221063,0.4788373801221063,mid,,Ishan Kishan,31,Heinrich Klaasen,21,31.0,33.0,0.895,23.0,36.0,0.0,0.5218476980376975,0.5218476980376975
13.2,119,2,0.4121652262877092,0.8379888268156425,0.6510190086422087,mid,inn2_par_pp_mid,Ishan Kishan,31,Heinrich Klaasen,22,31.0,34.0,0.9083333333333334,23.0,39.0,0.0,0.5754512647022202,0.5754512647022202
13.3,120,2,0.3952788013887979,0.8379888268156425,0.621067245970394,mid,inn2_par_pp_mid,Ishan Kishan,32,Heinrich Klaasen,22,32.0,35.0,0.9266666666666667,23.0,34.0,0.0,0.5544563556915583,0.5544563556915583
13.4,121,2,0.3795677423708291,0.7903225806451613,0.5948891584803047,mid,inn2_par_pp_mid,Ishan Kishan,32,Heinrich Klaasen,23,32.0,36.0,0.94,23.0,31.0,0.0,0.5415348353417586,0.5415348353417586
