season,over,ball,overs,score,wickets_lost,target_above_par,current_run_rate,required_run_rate,overs_remaining,balls_remaining,resource_win_prob,partnership_solidity,set_batter_exposure,runs_last_18,near_srh_market_prob_norm,scorecard_replay,v7_cal,partnership_solidity_v2,set_batter_exposure_v2,recent_rate_edge_v2,recent_rate_positive_v2,chase_completion_v2,chase_completion_effect_v2,wicket_safety_v2,phase_pp_v2,phase_mid_v2,phase_late_mid_v2,phase_death_v2,target_below_par_v2,target_above_par_v2,target_par_v2,mid_accel_gate_v2,mid_accel_strength_v2,resource_context_global,resource_phase_target_context,resource_mid_accel_gate_only
2026,3,1,3.1,23.0,1,7.550000000000011,7.2631578947368425,9.386138613861387,16.833333333333332,101,0.3968727204561925,0.3333333333333333,11.0,22.0,0.5081351689612015,0.2231936185551942,0.3017903721081645,0.3333333333333333,0.275,-0.3079207920792081,0.0,0.1270718232044199,0.031767955801104975,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3663320758592874,0.3445699464784923,0.3968727204561925
2026,3,2,3.2,23.0,1,7.550000000000011,6.8999999999999995,9.479999999999999,16.666666666666668,100,0.3848283367051585,0.3466666666666666,11.0,18.0,0.5255292652552926,0.2081276846654419,0.2893263982609619,0.3466666666666666,0.275,-0.5219999999999999,0.0,0.1270718232044199,0.031767955801104975,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34828572959524545,0.32833864653124273,0.3848283367051585
2026,3,3,3.3,23.0,1,7.550000000000011,6.571428571428571,9.575757575757576,16.5,99,0.37262464697932035,0.36,11.0,18.0,0.5131414267834793,0.1881358606924482,0.285148767698958,0.36,0.275,-0.5363636363636364,0.0,0.1270718232044199,0.031767955801104975,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3367098208814813,0.31695610496220394,0.37262464697932035
2026,3,4,3.4,27.0,1,7.550000000000011,7.363636363636364,9.428571428571429,16.333333333333332,98,0.3991282453832017,0.3783333333333333,12.0,22.0,0.5261845386533667,0.2231887541003219,0.3141399376839884,0.3783333333333333,0.3,-0.3142857142857142,0.0,0.14917127071823205,0.03729281767955801,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.37306335911736194,0.3503114638401414,0.3991282453832017
2026,3,5,3.5,27.0,1,7.550000000000011,7.0434782608695645,9.525773195876289,16.166666666666668,97,0.38652533920870413,0.3916666666666666,12.0,18.0,0.5323383084577115,0.2091547767125371,0.3011831870723329,0.3916666666666666,0.3,-0.5288659793814432,0.0,0.14917127071823205,0.03729281767955801,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35433951270991,0.3334347036311061,0.38652533920870413
2026,4,1,4.0,31.0,1,7.550000000000011,7.75,9.375,16.0,96,0.41395259979644344,0.4049999999999999,12.0,21.0,0.5682656826568265,0.2434059551185652,0.3412341581821785,0.4049999999999999,0.3,-0.35625,0.0,0.17714285714285716,0.04428571428571429,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39054574147601784,0.3668614837295958,0.41395259979644344
2026,4,1,4.1,35.0,1,7.550000000000011,8.399999999999999,9.221052631578948,15.833333333333334,95,0.44245178799875623,0.4233333333333333,13.0,25.0,0.5883777239709443,0.2587645127610744,0.4318931618903009,0.4233333333333333,0.325,-0.13315789473684206,0.0,0.19337016574585636,0.04834254143646409,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42940554464316927,0.4028714234164288,0.44245178799875623
2026,4,2,4.2,36.0,1,7.550000000000011,8.307692307692308,9.25531914893617,15.666666666666666,94,0.43988176847318455,0.4366666666666666,13.0,25.0,0.5910735826296744,0.2635038524474509,0.4269550308736423,0.4366666666666666,0.325,-0.1382978723404255,0.0,0.19889502762430938,0.049723756906077346,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42794502003733675,0.40114522618574905,0.43988176847318455
2026,4,3,4.3,36.0,1,7.550000000000011,8.0,9.35483870967742,15.5,93,0.4265241369134913,0.53,14.0,21.0,0.5925030229746071,0.2581779062999048,0.3991744137747615,0.53,0.35,-0.353225806451613,0.0,0.19889502762430938,0.049723756906077346,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4117959382970201,0.38533991602823964,0.4265241369134913
2026,4,4,4.4,36.0,1,7.550000000000011,7.7142857142857135,9.456521739130434,15.333333333333334,92,0.4129193151650743,0.5433333333333333,14.0,21.0,0.587378640776699,0.2391285685477311,0.3665115748584678,0.5433333333333333,0.35,-0.36847826086956503,0.0,0.19889502762430938,0.049723756906077346,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3984147988242567,0.3721225201326611,0.4129193151650743
2026,4,5,4.5,37.0,1,7.550000000000011,7.655172413793104,9.494505494505495,15.166666666666666,91,0.4097884688000902,0.5566666666666666,14.0,22.0,0.5668711656441718,0.2397952032879673,0.3675090187098501,0.5566666666666666,0.35,-0.3241758241758241,0.0,0.20441988950276244,0.05110497237569061,0.8571428571428571,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.39807422254851504,0.3711270077022966,0.4097884688000902
