candidate,segment,situation,n,matches,brier,brier_delta_vs_v14,brier_delta_pct_vs_v14,logloss,logloss_delta_pct_vs_v14,mean_pred,actual_wr,bias,abs_error,ece
raw_for_high_all_phases,high_phase,phase=pp,1394,37,0.12600844634258634,-0.002723931135954566,-2.1159642890994013,0.38332724763323683,-2.759999396093786,0.25383486399101496,0.27116212338593976,-0.0173272593949248,0.0173272593949248,0.06615683610387146
raw_for_high_all_phases,phase,phase=mid,5050,93,0.10234301480393747,-0.0013534196530483739,-1.3051747247971035,0.3325717484763332,-1.441648424955434,0.5168419198460856,0.5376237623762377,-0.020781842530152028,0.020781842530152028,0.048005228470039386
raw_for_high_all_phases,high_phase,phase=mid,2089,37,0.07171551981549738,-0.003271789970270139,-4.3631248802195595,0.24944799290592656,-4.50212863942645,0.30996328100604187,0.26807084729535663,0.04189243371068524,0.04189243371068524,0.0897679199763139
raw_for_high_all_phases,phase,phase=death,1516,79,0.06334574545894953,-0.0015879100513629257,-2.445434557601245,0.20629678582173824,-1.8494244253597796,0.43031519372601856,0.40369393139841686,0.026621262327601702,0.026621262327601702,0.03340509932235205
raw_for_high_all_phases,high_phase,phase=death,775,35,0.032319163893730934,-0.003106156952085423,-8.76818297738086,0.1191584895627178,-5.998510773052016,0.2846377173649181,0.20516129032258065,0.07947642704233746,0.07947642704233746,0.09139203223881966
raw_for_high_mid_death,overall,all,10047,93,0.1108302739229329,-0.0009198806495232942,-0.8231582793264639,0.37127940407846494,-0.8099402034473908,0.4881540585976458,0.5205533990245844,-0.032399340426938594,0.032399340426938594,0.06587690000927472
raw_for_high_mid_death,high_chase,all_high,4258,37,0.08321136851040431,-0.0021705121854768694,-2.5421227171230196,0.27312582396834045,-2.552262869673936,0.2944286361774699,0.2576326914044152,0.0367959447730547,0.0367959447730547,0.06210922174918297
raw_for_high_mid_death,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
raw_for_high_mid_death,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
raw_for_high_mid_death,phase,phase=mid,5050,93,0.10234301480393747,-0.0013534196530483739,-1.3051747247971035,0.3325717484763332,-1.441648424955434,0.5168419198460856,0.5376237623762377,-0.020781842530152028,0.020781842530152028,0.048005228470039386
raw_for_high_mid_death,high_phase,phase=mid,2089,37,0.07171551981549738,-0.003271789970270139,-4.3631248802195595,0.24944799290592656,-4.50212863942645,0.30996328100604187,0.26807084729535663,0.04189243371068524,0.04189243371068524,0.0897679199763139
raw_for_high_mid_death,phase,phase=death,1516,79,0.06334574545894953,-0.0015879100513629257,-2.445434557601245,0.20629678582173824,-1.8494244253597796,0.43031519372601856,0.40369393139841686,0.026621262327601702,0.026621262327601702,0.03340509932235205
raw_for_high_mid_death,high_phase,phase=death,775,35,0.032319163893730934,-0.003106156952085423,-8.76818297738086,0.1191584895627178,-5.998510773052016,0.2846377173649181,0.20516129032258065,0.07947642704233746,0.07947642704233746,0.09139203223881966
raw_for_high_mid_only,overall,all,10047,93,0.11106987496183666,-0.000680279610619533,-0.6087504873905616,0.37186594592073924,-0.6532411790219134,0.4881953149499767,0.5205533990245844,-0.03235808407460772,0.03235808407460772,0.06379031101776697
raw_for_high_mid_only,high_chase,all_high,4258,37,0.08377672117312536,-0.0016051595227558196,-1.8799767698643026,0.2745098037450739,-2.0584769086201753,0.2945259829533902,0.2576326914044152,0.03689329154897503,0.03689329154897503,0.06324155426375086
raw_for_high_mid_only,phase,phase=pp,3481,93,0.14382286332319885,0.0,0.0,0.49928495135452433,0.0,0.47172487728215173,0.5466819879345016,-0.07495711065234989,0.07495711065234989,0.13332019772949555
raw_for_high_mid_only,high_phase,phase=pp,1394,37,0.1287323774785409,0.0,0.0,0.3942073686266907,0.0,0.2765922581522481,0.27116212338593976,0.0054301347663083255,0.0054301347663083255,0.08006191750154608
raw_for_high_mid_only,phase,phase=mid,5050,93,0.10234301480393747,-0.0013534196530483739,-1.3051747247971035,0.3325717484763332,-1.441648424955434,0.5168419198460856,0.5376237623762377,-0.020781842530152028,0.020781842530152028,0.048005228470039386
raw_for_high_mid_only,high_phase,phase=mid,2089,37,0.07171551981549738,-0.003271789970270139,-4.3631248802195595,0.24944799290592656,-4.50212863942645,0.30996328100604187,0.26807084729535663,0.04189243371068524,0.04189243371068524,0.0897679199763139
raw_for_high_mid_only,phase,phase=death,1516,79,0.06493365551031245,0.0,0.0,0.2101839796801359,0.0,0.4305886123090453,0.40369393139841686,0.026894680910628466,0.026894680910628466,0.04251871954290364
raw_for_high_mid_only,high_phase,phase=death,775,35,0.03542532084581636,0.0,0.0,0.1267623423231447,0.0,0.28517255939313557,0.20516129032258065,0.08001126907055492,0.08001126907055492,0.09544026389162666
raw_for_high_death_only,overall,all,10047,93,0.11151055353355242,-0.00023960103890377504,-0.21440779193591478,0.3737245583223903,-0.15669902442552205,0.4899217604552562,0.5205533990245844,-0.030631638569328212,0.030631638569328212,0.06573972799878655
