segment,situation,model,pred_bin,n,matches,mean_pred,actual_wr,bias,abs_error
chase_bucket,chase_bucket=high,calibrated,"[0.3, 0.4)",392,27,0.3479112646327982,0.1989795918367347,0.1489316727960635,0.1489316727960635
chase_bucket,chase_bucket=high,calibrated,"[0.4, 0.5)",292,22,0.4412926720924627,0.4143835616438356,0.026909110448627094,0.026909110448627094
chase_bucket,chase_bucket=high,calibrated,"[0.5, 0.6)",209,16,0.5525285582144205,0.5119617224880383,0.0405668357263822,0.0405668357263822
chase_bucket,chase_bucket=high,calibrated,"[0.6, 0.7)",157,13,0.6484282613922504,0.7133757961783439,-0.0649475347860935,0.0649475347860935
chase_bucket,chase_bucket=high,calibrated,"[0.7, 0.8)",173,11,0.752076154123212,0.8959537572254336,-0.14387760310222153,0.14387760310222153
chase_bucket,chase_bucket=high,calibrated,"[0.8, 0.9)",129,11,0.8559313627481527,0.9844961240310077,-0.128564761282855,0.128564761282855
chase_bucket,chase_bucket=high,calibrated,"[0.9, 1.0)",282,10,0.9554433825772657,1.0,-0.04455661742273431,0.04455661742273431
chase_bucket,chase_bucket=low,raw,"[0.0, 0.1)",77,1,0.05861917772011439,1.0,-0.9413808222798856,0.9413808222798856
chase_bucket,chase_bucket=low,raw,"[0.1, 0.2)",25,1,0.13340235002502293,1.0,-0.866597649974977,0.866597649974977
chase_bucket,chase_bucket=low,raw,"[0.2, 0.3)",16,5,0.26761823403106955,1.0,-0.7323817659689305,0.7323817659689305
chase_bucket,chase_bucket=low,raw,"[0.3, 0.4)",95,6,0.3485487653830927,1.0,-0.6514512346169072,0.6514512346169072
chase_bucket,chase_bucket=low,raw,"[0.4, 0.5)",83,6,0.4584937803938122,1.0,-0.5415062196061877,0.5415062196061877
chase_bucket,chase_bucket=low,raw,"[0.5, 0.6)",77,8,0.5462990655446133,0.961038961038961,-0.41473989549434775,0.41473989549434775
chase_bucket,chase_bucket=low,raw,"[0.6, 0.7)",106,13,0.6679055745068795,0.9716981132075472,-0.3037925387006677,0.3037925387006677
chase_bucket,chase_bucket=low,raw,"[0.7, 0.8)",191,13,0.7528024305312188,0.9633507853403142,-0.2105483548090954,0.2105483548090954
chase_bucket,chase_bucket=low,raw,"[0.8, 0.9)",308,15,0.8518842858352252,0.9772727272727273,-0.12538844143750205,0.12538844143750205
chase_bucket,chase_bucket=low,raw,"[0.9, 1.0)",975,21,0.9695966764229276,0.9323076923076923,0.03728898411523529,0.03728898411523529
chase_bucket,chase_bucket=low,calibrated,"[0.0, 0.1)",60,1,0.06175958093998311,1.0,-0.9382404190600169,0.9382404190600169
chase_bucket,chase_bucket=low,calibrated,"[0.1, 0.2)",36,1,0.1285923807855798,1.0,-0.8714076192144202,0.8714076192144202
chase_bucket,chase_bucket=low,calibrated,"[0.3, 0.4)",80,6,0.3509978666463181,1.0,-0.649002133353682,0.649002133353682
chase_bucket,chase_bucket=low,calibrated,"[0.4, 0.5)",105,7,0.4519384777327636,1.0,-0.5480615222672365,0.5480615222672365
chase_bucket,chase_bucket=low,calibrated,"[0.5, 0.6)",99,10,0.5499219451058728,0.9696969696969697,-0.41977502459109695,0.41977502459109695
chase_bucket,chase_bucket=low,calibrated,"[0.6, 0.7)",99,13,0.6604589915332859,0.9696969696969697,-0.3092379781636838,0.3092379781636838
chase_bucket,chase_bucket=low,calibrated,"[0.7, 0.8)",283,14,0.7600369212838313,0.9752650176678446,-0.2152280963840133,0.2152280963840133
chase_bucket,chase_bucket=low,calibrated,"[0.8, 0.9)",234,15,0.848505895084621,0.9572649572649573,-0.10875906218033626,0.10875906218033626
chase_bucket,chase_bucket=low,calibrated,"[0.9, 1.0)",748,21,0.9601894836625546,0.9318181818181818,0.028371301844372865,0.028371301844372865
chase_bucket,chase_bucket=par,raw,"[0.0, 0.1)",469,13,0.03593868689008096,0.021321961620469083,0.014616725269611875,0.014616725269611875
chase_bucket,chase_bucket=par,raw,"[0.1, 0.2)",401,15,0.15323242335117424,0.09975062344139651,0.05348179990977772,0.05348179990977772
chase_bucket,chase_bucket=par,raw,"[0.2, 0.3)",289,20,0.24614256192279604,0.2041522491349481,0.041990312787847955,0.041990312787847955
chase_bucket,chase_bucket=par,raw,"[0.3, 0.4)",242,21,0.3484607535223285,0.47107438016528924,-0.12261362664296072,0.12261362664296072
chase_bucket,chase_bucket=par,raw,"[0.4, 0.5)",217,20,0.4467260154889914,0.5253456221198156,-0.07861960663082423,0.07861960663082423
chase_bucket,chase_bucket=par,raw,"[0.5, 0.6)",313,23,0.5521566388113109,0.6996805111821086,-0.14752387237079767,0.14752387237079767
chase_bucket,chase_bucket=par,raw,"[0.6, 0.7)",344,24,0.6498830033616683,0.8604651162790697,-0.21058211291740148,0.21058211291740148
chase_bucket,chase_bucket=par,raw,"[0.7, 0.8)",429,24,0.7526513200093137,0.8787878787878788,-0.1261365587785651,0.1261365587785651
chase_bucket,chase_bucket=par,raw,"[0.8, 0.9)",360,23,0.8439027044465685,0.8055555555555556,0.03834714889101287,0.03834714889101287
chase_bucket,chase_bucket=par,raw,"[0.9, 1.0)",772,23,0.9697040677787967,0.9676165803108808,0.0020874874679158717,0.0020874874679158717
chase_bucket,chase_bucket=par,calibrated,"[0.0, 0.1)",422,12,0.029788954966653496,0.02132701421800948,0.008461940748644016,0.008461940748644016
chase_bucket,chase_bucket=par,calibrated,"[0.1, 0.2)",290,15,0.16097043830063554,0.06896551724137931,0.09200492105925623,0.09200492105925623
chase_bucket,chase_bucket=par,calibrated,"[0.2, 0.3)",407,20,0.25342297211010206,0.17444717444717445,0.07897579766292762,0.07897579766292762
chase_bucket,chase_bucket=par,calibrated,"[0.3, 0.4)",223,19,0.350624562046911,0.4304932735426009,-0.07986871149568991,0.07986871149568991
chase_bucket,chase_bucket=par,calibrated,"[0.4, 0.5)",269,22,0.4449195819205524,0.5278810408921933,-0.08296145897164092,0.08296145897164092
chase_bucket,chase_bucket=par,calibrated,"[0.5, 0.6)",365,27,0.5526224405324598,0.7205479452054795,-0.1679255046730197,0.1679255046730197
chase_bucket,chase_bucket=par,calibrated,"[0.6, 0.7)",345,24,0.6454086838907972,0.8347826086956521,-0.18937392480485493,0.18937392480485493
chase_bucket,chase_bucket=par,calibrated,"[0.7, 0.8)",504,24,0.7624148824196777,0.8690476190476191,-0.10663273662794137,0.10663273662794137
chase_bucket,chase_bucket=par,calibrated,"[0.8, 0.9)",253,23,0.8401487965980289,0.8023715415019763,0.037777255096052564,0.037777255096052564
