method,split,segment,n,brier,ece,log_loss,baseline_brier_delta,baseline_ece_delta,baseline_log_loss_delta,cluster_winner_brier_delta,cluster_winner_ece_delta,cluster_winner_log_loss_delta
v18A_hard_pp_fallback,season_2025,innings_1_death,336,0.1971288317686661,0.13279762051438415,0.5811176067787776,-0.000529,-0.001637,-0.000867,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2025,innings_2,1208,0.12665038543247034,0.052966374256184105,0.39995730049545414,0.000364,-0.000357,5.5e-05,-0.000338,-0.002751,-8.6e-05
v18A_hard_pp_fallback,season_2025,innings_2_powerplay,280,0.1644872770519104,0.11752335483831143,0.5064809664271414,0.0,0.0,0.0,-0.001459,-0.008923,-0.00037
v18A_hard_pp_fallback,season_2025,innings_2_middle,621,0.13831580051492598,0.06122381263712643,0.43603325148748684,0.001038,0.002207,0.000836,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2025,innings_2_death,307,0.06854435149224836,0.06928314038647078,0.22982768477257232,-0.000665,0.002859,-0.001475,0.0,0.0,0.0
v18B_confidence_cap,season_2025,overall,2455,0.16800982990233726,0.03814585251609497,0.5035579099456032,-0.000109,0.008132,-0.00108,4e-06,-2e-05,1.7e-05
v18B_confidence_cap,season_2025,innings_1,1247,0.20774012904200262,0.08167551813017647,0.6038012718318283,-0.000903,0.005135,-0.002297,0.0,0.0,0.0
v18B_confidence_cap,season_2025,innings_1_powerplay,280,0.2273246725020469,0.05806971061869126,0.644639203409873,-0.001243,0.023319,-0.00273,0.0,0.0,0.0
v18B_confidence_cap,season_2025,innings_1_middle,631,0.20470007153808595,0.1135905960950437,0.5977586262153028,-0.000952,-0.001185,-0.002865,0.0,0.0,0.0
v18B_confidence_cap,season_2025,innings_1_death,336,0.1971288317686661,0.13279762051438415,0.5811176067787776,-0.000529,-0.001637,-0.000867,0.0,0.0,0.0
v18B_confidence_cap,season_2025,innings_2,1208,0.12699684726395763,0.05463432879572697,0.4000782143560977,0.000711,0.001311,0.000176,8e-06,-0.001083,3.5e-05
v18B_confidence_cap,season_2025,innings_2_powerplay,280,0.1659820123820412,0.1253706921178884,0.5070026233687752,0.001495,0.007847,0.000522,3.6e-05,-0.001076,0.000152
v18B_confidence_cap,season_2025,innings_2_middle,621,0.13831580051492598,0.06122381263712643,0.43603325148748684,0.001038,0.002207,0.000836,0.0,0.0,0.0
v18B_confidence_cap,season_2025,innings_2_death,307,0.06854435149224836,0.06928314038647078,0.22982768477257232,-0.000665,0.002859,-0.001475,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,overall,2455,0.16783935092374802,0.037702329457417805,0.5034984134308751,-0.000279,0.007689,-0.00114,-0.000166,-0.000463,-4.2e-05
v18C_dominant_cluster_only,season_2025,innings_1,1247,0.20774012904200262,0.08167551813017647,0.6038012718318283,-0.000903,0.005135,-0.002297,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,innings_1_powerplay,280,0.2273246725020469,0.05806971061869126,0.644639203409873,-0.001243,0.023319,-0.00273,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,innings_1_middle,631,0.20470007153808595,0.1135905960950437,0.5977586262153028,-0.000952,-0.001185,-0.002865,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,innings_1_death,336,0.1971288317686661,0.13279762051438415,0.5811176067787776,-0.000529,-0.001637,-0.000867,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,innings_2,1208,0.12665038543247034,0.052966374256184105,0.39995730049545414,0.000364,-0.000357,5.5e-05,-0.000338,-0.002751,-8.6e-05
v18C_dominant_cluster_only,season_2025,innings_2_powerplay,280,0.1644872770519104,0.11752335483831143,0.5064809664271414,0.0,0.0,0.0,-0.001459,-0.008923,-0.00037
v18C_dominant_cluster_only,season_2025,innings_2_middle,621,0.13831580051492598,0.06122381263712643,0.43603325148748684,0.001038,0.002207,0.000836,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2025,innings_2_death,307,0.06854435149224836,0.06928314038647078,0.22982768477257232,-0.000665,0.002859,-0.001475,0.0,0.0,0.0
baseline_ipl_v6_features,season_2026,overall,798,0.13423040659386584,0.10061739018121307,0.42030593675176814,0.0,0.0,0.0,0.001392,0.002304,0.00392
baseline_ipl_v6_features,season_2026,innings_1,407,0.18517537225570566,0.15714766040448502,0.5570690228361255,0.0,0.0,0.0,0.001872,0.01367,0.005434
baseline_ipl_v6_features,season_2026,innings_1_powerplay,92,0.19373746327767066,0.10027317465180649,0.5738050498820193,0.0,0.0,0.0,0.001873,-0.008582,0.004163
baseline_ipl_v6_features,season_2026,innings_1_middle,204,0.1840987984704762,0.1716384513930673,0.5550061683030707,0.0,0.0,0.0,0.002081,0.015528,0.006597
baseline_ipl_v6_features,season_2026,innings_1_death,111,0.18005743241936364,0.2117212985837673,0.5469889132552331,0.0,0.0,0.0,0.001486,-0.023957,0.004349
baseline_ipl_v6_features,season_2026,innings_2,391,0.08120073645481515,0.12750032255752564,0.2779464072470791,0.0,0.0,0.0,0.000892,0.004066,0.002344
baseline_ipl_v6_features,season_2026,innings_2_powerplay,92,0.1361946893078806,0.14865850893114277,0.4271320364053634,0.0,0.0,0.0,0.002393,0.008963,0.005401
baseline_ipl_v6_features,season_2026,innings_2_middle,203,0.07183019409839828,0.16030616954422774,0.2580732474526296,0.0,0.0,0.0,-0.00053,0.004902,-0.000626
baseline_ipl_v6_features,season_2026,innings_2_death,96,0.04831299099513403,0.09036107963436846,0.17700029845240275,0.0,0.0,0.0,0.00246,0.016784,0.005694
regime_cluster_features,season_2026,overall,798,0.13283867977562955,0.09831300156891151,0.4163862426057243,-0.001392,-0.002304,-0.00392,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_1,407,0.18330362386172583,0.14347775532200455,0.5516353624695923,-0.001872,-0.01367,-0.005434,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_1_powerplay,92,0.19186442821486177,0.10885510548093447,0.5696415908040564,-0.001873,0.008582,-0.004163,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_1_middle,204,0.18201765772401576,0.15611094413627227,0.5484093144937817,-0.002081,-0.015528,-0.006597,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_1_death,111,0.17857157964194523,0.2356787528211334,0.5426402343641388,-0.001486,0.023957,-0.004349,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_2,391,0.08030867403895132,0.12343402585138541,0.2756026319034373,-0.000892,-0.004066,-0.002344,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_2_powerplay,92,0.13380162689984876,0.13969585572677148,0.421731239936985,-0.002393,-0.008963,-0.005401,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_2_middle,203,0.0723600037281349,0.1554036967574261,0.2586993210205249,0.00053,-0.004902,0.000626,0.0,0.0,0.0
regime_cluster_features,season_2026,innings_2_death,96,0.04585271997533846,0.0735773688624109,0.1713061753424461,-0.00246,-0.016784,-0.005694,0.0,0.0,0.0
guarded_regime_phase_calibration,season_2026,overall,798,0.1352182262281532,0.07638670011869365,0.46945460584111715,0.000988,-0.024231,0.049149,0.00238,-0.021926,0.053068
guarded_regime_phase_calibration,season_2026,innings_1,407,0.18296537503186996,0.14975522261876462,0.6317116626143076,-0.00221,-0.007392,0.074643,-0.000338,0.006277,0.080076
guarded_regime_phase_calibration,season_2026,innings_1_powerplay,92,0.188999353847671,0.11421507705845917,0.8492689477066291,-0.004738,0.013942,0.275464,-0.002865,0.00536,0.279627
guarded_regime_phase_calibration,season_2026,innings_1_middle,204,0.18354655610171872,0.17034339480093819,0.5658901235893613,-0.000552,-0.001295,0.010884,0.001529,0.014232,0.017481
guarded_regime_phase_calibration,season_2026,innings_1_death,111,0.17689612287598855,0.22597740620393542,0.572363227772825,-0.003161,0.014256,0.025374,-0.001675,-0.009701,0.029723
guarded_regime_phase_calibration,season_2026,innings_2,391,0.08551722990305667,0.06890172207313255,0.30055787411045587,0.004316,-0.058599,0.022611,0.005209,-0.054532,0.024955
guarded_regime_phase_calibration,season_2026,innings_2_powerplay,92,0.15040535352936707,0.09731607210250638,0.5910151309271507,0.014211,-0.051342,0.163883,0.016604,-0.04238,0.169284
guarded_regime_phase_calibration,season_2026,innings_2_middle,203,0.0737745703206293,0.08818203440198139,0.23620752388582572,0.001944,-0.072124,-0.021866,0.001415,-0.067222,-0.022492
guarded_regime_phase_calibration,season_2026,innings_2_death,96,0.04816361033651715,0.05592812690809554,0.15827718107362243,-0.000149,-0.034433,-0.018723,0.002311,-0.017649,-0.013029
v18A_hard_pp_fallback,season_2026,overall,798,0.13311457168231997,0.09879611390255083,0.4170088908201239,-0.001116,-0.001821,-0.003297,0.000276,0.000483,0.000623
v18A_hard_pp_fallback,season_2026,innings_1,407,0.18330362386172583,0.14347775532200455,0.5516353624695923,-0.001872,-0.01367,-0.005434,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2026,innings_1_powerplay,92,0.19186442821486177,0.10885510548093447,0.5696415908040564,-0.001873,0.008582,-0.004163,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2026,innings_1_middle,204,0.18201765772401576,0.15611094413627227,0.5484093144937817,-0.002081,-0.015528,-0.006597,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2026,innings_1_death,111,0.17857157964194523,0.2356787528211334,0.5426402343641388,-0.001486,0.023957,-0.004349,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2026,innings_2,391,0.08087174754672351,0.1256004775399342,0.2768734075430557,-0.000329,-0.0019,-0.001073,0.000563,0.002166,0.001271
v18A_hard_pp_fallback,season_2026,innings_2_powerplay,92,0.1361946893078806,0.14865850893114277,0.4271320364053634,0.0,0.0,0.0,0.002393,0.008963,0.005401
v18A_hard_pp_fallback,season_2026,innings_2_middle,203,0.0723600037281349,0.1554036967574261,0.2586993210205249,0.00053,-0.004902,0.000626,0.0,0.0,0.0
v18A_hard_pp_fallback,season_2026,innings_2_death,96,0.04585271997533846,0.0735773688624109,0.1713061753424461,-0.00246,-0.016784,-0.005694,0.0,0.0,0.0
v18B_confidence_cap,season_2026,overall,798,0.13281553264995086,0.09826857818965101,0.4163325677447214,-0.001415,-0.002349,-0.003973,-2.3e-05,-4.4e-05,-5.4e-05
v18B_confidence_cap,season_2026,innings_1,407,0.18330362386172583,0.14347775532200455,0.5516353624695923,-0.001872,-0.01367,-0.005434,0.0,0.0,0.0
v18B_confidence_cap,season_2026,innings_1_powerplay,92,0.19186442821486177,0.10885510548093447,0.5696415908040564,-0.001873,0.008582,-0.004163,0.0,0.0,0.0
v18B_confidence_cap,season_2026,innings_1_middle,204,0.18201765772401576,0.15611094413627227,0.5484093144937817,-0.002081,-0.015528,-0.006597,0.0,0.0,0.0
v18B_confidence_cap,season_2026,innings_1_death,111,0.17857157964194523,0.2356787528211334,0.5426402343641388,-0.001486,0.023957,-0.004349,0.0,0.0,0.0
v18B_confidence_cap,season_2026,innings_2,391,0.0802614325906352,0.12335539603679271,0.27549308576768183,-0.000939,-0.004145,-0.002453,-4.7e-05,-7.9e-05,-0.00011
v18B_confidence_cap,season_2026,innings_2_powerplay,92,0.1336008507445053,0.13936167901475247,0.4212656688600241,-0.002594,-0.009297,-0.005866,-0.000201,-0.000334,-0.000466
v18B_confidence_cap,season_2026,innings_2_middle,203,0.0723600037281349,0.1554036967574261,0.2586993210205249,0.00053,-0.004902,0.000626,0.0,0.0,0.0
v18B_confidence_cap,season_2026,innings_2_death,96,0.04585271997533846,0.0735773688624109,0.1713061753424461,-0.00246,-0.016784,-0.005694,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,overall,798,0.13311457168231997,0.09879611390255083,0.4170088908201239,-0.001116,-0.001821,-0.003297,0.000276,0.000483,0.000623
v18C_dominant_cluster_only,season_2026,innings_1,407,0.18330362386172583,0.14347775532200455,0.5516353624695923,-0.001872,-0.01367,-0.005434,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,innings_1_powerplay,92,0.19186442821486177,0.10885510548093447,0.5696415908040564,-0.001873,0.008582,-0.004163,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,innings_1_middle,204,0.18201765772401576,0.15611094413627227,0.5484093144937817,-0.002081,-0.015528,-0.006597,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,innings_1_death,111,0.17857157964194523,0.2356787528211334,0.5426402343641388,-0.001486,0.023957,-0.004349,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,innings_2,391,0.08087174754672351,0.1256004775399342,0.2768734075430557,-0.000329,-0.0019,-0.001073,0.000563,0.002166,0.001271
v18C_dominant_cluster_only,season_2026,innings_2_powerplay,92,0.1361946893078806,0.14865850893114277,0.4271320364053634,0.0,0.0,0.0,0.002393,0.008963,0.005401
v18C_dominant_cluster_only,season_2026,innings_2_middle,203,0.0723600037281349,0.1554036967574261,0.2586993210205249,0.00053,-0.004902,0.000626,0.0,0.0,0.0
v18C_dominant_cluster_only,season_2026,innings_2_death,96,0.04585271997533846,0.0735773688624109,0.1713061753424461,-0.00246,-0.016784,-0.005694,0.0,0.0,0.0
