row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,raw_predicted_prob,calibration_key,calibration_source,calibrated_predicted_prob,route_source,route_reason,baseline_predicted_prob,cluster_predicted_prob,dominant_cluster_threshold,regime_confidence_threshold,pp_influence_cap,confidence_strength,wrong_direction
1473473:2:2:6,1473473,2025,2025-04-19,2,2,6,powerplay,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,0,17.0,0.7113213737677481,1,pressure_state,stable,0.16334433878965376,0.5001420858198352,7038,regime_cluster_features,holdout,0.831785837058651,1,0.831785837058651,False,0.831785837058651,,,,,,,,,,,0.831785837058651,false_positive
1359542:2:1:6,1359542,2023,2023-05-20,2,1,6,powerplay,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,0,18.0,0.7321060780968948,1,pressure_state,stable,0.1258872020363966,0.5001420858198352,7038,regime_cluster_features,holdout,0.8284490819969431,1,0.8284490819969431,False,0.8284490819969431,,,,,,,,,,,0.8284490819969431,false_positive
1473472:2:1:6,1473472,2025,2025-04-19,2,1,6,powerplay,Gujarat Titans,Delhi Capitals,Gujarat Titans,1,18.0,0.3404348145197476,1,pressure_state,stable,0.1624594270606341,0.5001420858198352,7038,regime_cluster_features,holdout,0.17603364754455625,0,0.8239663524554437,False,0.17603364754455625,,,,,,,,,,,0.8239663524554437,false_negative
1359497:2:1:6,1359497,2023,2023-04-16,2,1,6,powerplay,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,1,18.0,0.34633474657616464,3,pressure_state,stable,0.13525489709792346,0.2932673002275465,7471,regime_cluster_features,holdout,0.1778619464568397,0,0.8221380535431603,False,0.1778619464568397,,,,,,,,,,,0.8221380535431603,false_negative
1359532:2:3:6,1359532,2023,2023-05-13,2,3,6,powerplay,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,1,16.0,0.27380271360965125,1,pressure_state,stable,0.13152259237169486,0.5001420858198352,7038,regime_cluster_features,holdout,0.18367917769374514,0,0.8163208223062548,False,0.18367917769374514,,,,,,,,,,,0.8163208223062548,false_negative
1426298:2:2:6,1426298,2024,2024-05-11,2,2,6,powerplay,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,0,17.0,0.8159655740019794,1,pressure_state,stable,0.17810968540129443,0.5001420858198352,7038,regime_cluster_features,holdout,0.8159985040017042,1,0.8159985040017042,False,0.8159985040017042,,,,,,,,,,,0.8159985040017042,false_positive
1426280:2:3:6,1426280,2024,2024-04-26,2,3,6,powerplay,Punjab Kings,Kolkata Knight Riders,Punjab Kings,1,16.0,0.0931652314632882,1,pressure_state,stable,0.0978204647678123,0.5001420858198352,7038,regime_cluster_features,holdout,0.1840309834529274,0,0.8159690165470725,False,0.1840309834529274,,,,,,,,,,,0.8159690165470725,false_negative
1426269:2:3:6,1426269,2024,2024-04-16,2,3,6,powerplay,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,1,16.0,0.24605309325916397,1,pressure_state,stable,0.13614187551873533,0.5001420858198352,7038,regime_cluster_features,holdout,0.1843116540404887,0,0.8156883459595113,False,0.1843116540404887,,,,,,,,,,,0.8156883459595113,false_negative
1359508:2:1:6,1359508,2023,2023-04-24,2,1,6,powerplay,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,18.0,0.7979519586558231,1,pressure_state,stable,0.1728396189307508,0.5001420858198352,7038,regime_cluster_features,holdout,0.8133991553660559,1,0.8133991553660559,False,0.8133991553660559,,,,,,,,,,,0.8133991553660559,false_positive
1359542:2:3:6,1359542,2023,2023-05-20,2,3,6,powerplay,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,0,16.0,0.7244839376944597,1,pressure_state,stable,0.17218836894702208,0.5001420858198352,7038,regime_cluster_features,holdout,0.8105782128684307,1,0.8105782128684307,False,0.8105782128684307,,,,,,,,,,,0.8105782128684307,false_positive
1359542:2:2:6,1359542,2023,2023-05-20,2,2,6,powerplay,Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,0,17.0,0.7203116826379843,1,pressure_state,stable,0.15304174806752918,0.5001420858198352,7038,regime_cluster_features,holdout,0.8034025850351669,1,0.8034025850351669,False,0.8034025850351669,,,,,,,,,,,0.8034025850351669,false_positive
1359508:2:2:6,1359508,2023,2023-04-24,2,2,6,powerplay,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,0,17.0,0.7874483605686546,1,pressure_state,stable,0.1867313949454937,0.5001420858198352,7038,regime_cluster_features,holdout,0.802243484806008,1,0.802243484806008,False,0.802243484806008,,,,,,,,,,,0.802243484806008,false_positive
