actual,raw_prob,phase_prob,resource_prob,rrr,overs_remaining
1,0.9437001654447417,0.9550381372942593,0.999,2.6582278481012658,13.166666666666666
1,0.9443887131739099,0.9550381372942593,0.999,2.6153846153846154,13.0
1,0.948335553122162,0.9550381372942593,0.999,2.571428571428571,12.833333333333334
1,0.9490180203231093,0.9550381372942593,0.999,2.526315789473684,12.666666666666666
1,0.9494175517038121,0.9550381372942593,0.999,2.56,12.5
1,0.9505434550460148,0.9550381372942593,0.999,2.4324324324324325,12.333333333333334
1,0.9513318354613974,0.9550381372942593,0.999,2.4657534246575343,12.166666666666666
1,0.9557236889493879,0.9550381372942593,0.999,2.1666666666666665,12.0
1,0.954611904886661,0.9550381372942593,0.999,2.112676056338028,11.833333333333334
1,0.9557412582351137,0.9550381372942593,0.999,2.057142857142857,11.666666666666666
1,0.9575717074904098,0.9550381372942593,0.999,2.0,11.5
1,0.9587034169827459,0.9550561797752809,0.999,1.9411764705882355,11.333333333333334
1,0.9594633235070165,0.9657534246575342,0.999,1.8805970149253732,11.166666666666666
1,0.9605349272162527,0.9695273631840796,0.999,1.7272727272727275,11.0
1,0.9613294838167711,0.9695273631840796,0.999,1.6615384615384616,10.833333333333334
1,0.9624127432581744,0.9695273631840796,0.999,1.476923076923077,10.833333333333334
1,0.9648323774830668,0.9695273631840796,0.999,1.125,10.666666666666666
1,0.9649125975545729,0.9695273631840796,0.999,1.1428571428571428,10.5
