bucket,n,mean_pred,actual_wr,cal_error,candidate
80+,5142,0.9434128130918615,0.9459354336833917,0.002522620591530189,full_phase_isotonic
50-60,1339,0.553870278341974,0.5705750560119492,0.016704777669975246,full_phase_platt_blend_0.25
60-70,1298,0.6499246516393004,0.7234206471494607,0.0734959955101604,full_phase_platt_blend_0.25
70-80,1966,0.7514328853135461,0.8763987792472024,0.12496589393365631,full_phase_platt_blend_0.25
80+,5444,0.9354764911927239,0.9432402645113886,0.007763773318664735,full_phase_platt_blend_0.25
50-60,1339,0.5538693363127193,0.5705750560119492,0.01670571969922996,full_phase_platt_blend_0.50
60-70,1298,0.6499229930024218,0.7234206471494607,0.0734976541470389,full_phase_platt_blend_0.50
70-80,1966,0.7514308312907526,0.8763987792472024,0.12496794795644983,full_phase_platt_blend_0.50
80+,5444,0.9354754468017689,0.9432402645113886,0.007764817709619787,full_phase_platt_blend_0.50
50-60,1339,0.5538683942834647,0.5705750560119492,0.016706661728484562,full_phase_platt_blend_0.75
60-70,1298,0.6499213343655433,0.7234206471494607,0.07349931278391741,full_phase_platt_blend_0.75
70-80,1966,0.7514287772679593,0.8763987792472024,0.12497000197924313,full_phase_platt_blend_0.75
80+,5444,0.9354744024108139,0.9432402645113886,0.0077658621005747275,full_phase_platt_blend_0.75
50-60,1349,0.5542695415111105,0.5774647887323944,0.023195247221283855,full_phase_isotonic_blend_0.25
60-70,1256,0.6503403246796855,0.7197452229299363,0.06940489825025076,full_phase_isotonic_blend_0.25
70-80,2047,0.7499622275672736,0.8764044943820225,0.1264422668147489,full_phase_isotonic_blend_0.25
80+,5395,0.936521530069362,0.9436515291936979,0.007129999124335873,full_phase_isotonic_blend_0.25
50-60,1360,0.5547486889792973,0.5779411764705882,0.02319248749129088,full_phase_isotonic_blend_0.50
60-70,1220,0.6509723292911543,0.7204918032786886,0.06951947398753422,full_phase_isotonic_blend_0.50
70-80,2158,0.7495873702893124,0.8785912882298424,0.12900391794053,full_phase_isotonic_blend_0.50
80+,5309,0.9386109394937807,0.9438689018647579,0.005257962370977198,full_phase_isotonic_blend_0.50
50-60,1360,0.5549767958420027,0.5897058823529412,0.034729086510938534,full_phase_isotonic_blend_0.75
60-70,1190,0.650924562459204,0.7151260504201681,0.06420148796096403,full_phase_isotonic_blend_0.75
70-80,2336,0.7501282040752596,0.8792808219178082,0.1291526178425486,full_phase_isotonic_blend_0.75
80+,5161,0.9426607676702479,0.9453594264677389,0.0026986587974909826,full_phase_isotonic_blend_0.75
50-60,1336,0.5537802764353786,0.5703592814371258,0.016579005001747138,full_phase_symmetric_temperature
60-70,1299,0.6497763748143631,0.7228637413394919,0.07308736652512882,full_phase_symmetric_temperature
70-80,1965,0.7513622217765903,0.87735368956743,0.1259914677908397,full_phase_symmetric_temperature
80+,5447,0.9354464981352775,0.9429043510189095,0.007457852883631988,full_phase_symmetric_temperature
50-60,1388,0.5520721827144685,0.579971181556196,0.02789899884172753,full_phase_symmetric_platt
60-70,1273,0.64979709257881,0.7282010997643362,0.0784040071855262,full_phase_symmetric_platt
70-80,1955,0.7512173559336263,0.8767263427109975,0.1255089867773712,full_phase_symmetric_platt
80+,5431,0.9362408370944522,0.943288528816056,0.007047691721603799,full_phase_symmetric_platt
50-60,1239,0.5503182308622663,0.5746569814366425,0.024338750574376178,full_phase_symmetric_isotonic
60-70,1116,0.6372840404404431,0.6989247311827957,0.06164069074235268,full_phase_symmetric_isotonic
70-80,2550,0.7447983414413863,0.8650980392156863,0.12029969777429994,full_phase_symmetric_isotonic
80+,5142,0.9434548906025344,0.9459354336833917,0.0024805430808573226,full_phase_symmetric_isotonic
50-60,1347,0.553293447805725,0.5731254639940608,0.019832016188335855,full_phase_symmetric_platt_blend_0.25
60-70,1294,0.6496306237244147,0.7217928902627512,0.07216226653833646,full_phase_symmetric_platt_blend_0.25
70-80,1967,0.7513658556982086,0.8769700050838841,0.12560414938567555,full_phase_symmetric_platt_blend_0.25
80+,5439,0.9357114439955614,0.9431880860452289,0.00747664204966747,full_phase_symmetric_platt_blend_0.25
50-60,1364,0.5530114854030105,0.5747800586510264,0.021768573248015954,full_phase_symmetric_platt_blend_0.50
60-70,1284,0.6498145338937076,0.7227414330218068,0.07292689912809924,full_phase_symmetric_platt_blend_0.50
70-80,1961,0.7512803538050314,0.8765935747067822,0.1253132209017508,full_phase_symmetric_platt_blend_0.50
80+,5438,0.9358458911361968,0.9433615299742553,0.007515638838058503,full_phase_symmetric_platt_blend_0.50
50-60,1376,0.5525477370442244,0.5755813953488372,0.023033658304612792,full_phase_symmetric_platt_blend_0.75
60-70,1281,0.649895674771264,0.7252146760343482,0.07531900126308422,full_phase_symmetric_platt_blend_0.75
70-80,1958,0.7513751659493898,0.8764044943820225,0.1250293284326327,full_phase_symmetric_platt_blend_0.75
80+,5432,0.9361057457679264,0.9432989690721649,0.00719322330423855,full_phase_symmetric_platt_blend_0.75
50-60,1332,0.553711678089327,0.5698198198198198,0.016108141730492798,full_phase_symmetric_isotonic_blend_0.25
60-70,1272,0.6495705372929363,0.7193396226415094,0.06976908534857307,full_phase_symmetric_isotonic_blend_0.25
70-80,2046,0.7499028222723727,0.8778103616813294,0.12790753940895672,full_phase_symmetric_isotonic_blend_0.25
80+,5397,0.9364941006228088,0.943301834352418,0.006807733729609189,full_phase_symmetric_isotonic_blend_0.25
50-60,1320,0.553368345990808,0.5681818181818182,0.014813472191010257,full_phase_symmetric_isotonic_blend_0.50
60-70,1256,0.6490960266591922,0.7173566878980892,0.06826066123889696,full_phase_symmetric_isotonic_blend_0.50
70-80,2161,0.7494446616457336,0.8764460897732531,0.12700142812751947,full_phase_symmetric_isotonic_blend_0.50
80+,5310,0.9386357138959992,0.9446327683615819,0.005997054465582741,full_phase_symmetric_isotonic_blend_0.50
50-60,1280,0.551967606726745,0.57109375,0.019126143273254903,full_phase_symmetric_isotonic_blend_0.75
60-70,1244,0.6464377919154107,0.704983922829582,0.05854613091417127,full_phase_symmetric_isotonic_blend_0.75
70-80,2340,0.7490749719432076,0.8782051282051282,0.1291301562619206,full_phase_symmetric_isotonic_blend_0.75
80+,5183,0.9421093311614342,0.9450125409994212,0.0029032098379869753,full_phase_symmetric_isotonic_blend_0.75
50-60,1540,0.5533920350625078,0.5974025974025974,0.0440105623400896,recent_2021_global_temperature
60-70,1501,0.6532237300830772,0.737508327781479,0.0842845976984018,recent_2021_global_temperature
70-80,2103,0.7483308148360175,0.8968140751307656,0.14848326029474812,recent_2021_global_temperature
80+,4903,0.9339624067523236,0.9479910259025087,0.014028619150185162,recent_2021_global_temperature
50-60,1492,0.5529919793108887,0.5958445040214477,0.042852524710559003,recent_2021_global_platt
60-70,1702,0.6534565266278034,0.7696827262044653,0.11622619957666191,recent_2021_global_platt
70-80,1988,0.7533682032042285,0.897887323943662,0.14451912073943352,recent_2021_global_platt
80+,4865,0.9351419364722456,0.9486125385405961,0.01347060206835049,recent_2021_global_platt
50-60,1471,0.5531673930615952,0.6254248810333106,0.07225748797171538,recent_2021_global_isotonic
60-70,865,0.6479062629623101,0.6219653179190752,0.025940945043234964,recent_2021_global_isotonic
70-80,2862,0.7367226240659942,0.8770090845562544,0.14028646049026017,recent_2021_global_isotonic
80+,4849,0.9367201294871899,0.9505052588162508,0.013785129329060952,recent_2021_global_isotonic
50-60,1375,0.553572812106933,0.5869090909090909,0.03333627880215795,recent_2021_global_platt_blend_0.25
60-70,1429,0.6526392006867191,0.7291812456263121,0.07654204493959305,recent_2021_global_platt_blend_0.25
