segment,variant,fold,feature,importance
innings_2_powerplay,augmented,2,score_per_wicket,0.017387812957167625
innings_2_powerplay,augmented,2,run_rate_diff,0.02443675510585308
innings_2_powerplay,augmented,2,required_run_rate,0.0248345285654068
innings_2_powerplay,augmented,2,chase_difficulty,0.02164829894900322
innings_2_powerplay,augmented,2,wickets_times_balls,0.025465689599514008
innings_2_powerplay,augmented,2,pressure_index,0.13978329300880432
innings_2_powerplay,augmented,2,team_strength_diff,0.023344863206148148
innings_2_powerplay,augmented,2,rrr_times_wickets,0.031360916793346405
innings_2_powerplay,augmented,2,overs_remaining,0.0
innings_2_powerplay,augmented,2,batting_team_win_rate,0.023641429841518402
innings_2_powerplay,augmented,2,bowling_team_win_rate,0.02165375091135502
innings_2_powerplay,augmented,2,batting_team_situation_wr,0.020253684371709824
innings_2_powerplay,augmented,2,situation_advantage,0.021541163325309753
innings_2_powerplay,augmented,2,boundary_pct_last_18,0.0006876647239550948
innings_2_powerplay,augmented,2,bowling_team_situation_wr,0.023730983957648277
innings_2_powerplay,augmented,2,runs_last_12,0.00862008798867464
innings_2_powerplay,augmented,2,runs_last_18,0.007498694118112326
innings_2_powerplay,augmented,2,wickets_last_12,0.0
innings_2_powerplay,augmented,2,inn1_defendability,0.025549357756972313
innings_2_powerplay,augmented,2,target_above_par,0.03120269998908043
innings_2_powerplay,augmented,2,inn1_wickets_lost,0.0220047477632761
innings_2_powerplay,augmented,2,inn1_death_rr,0.023530757054686546
innings_2_powerplay,augmented,2,inn1_pp_runs,0.025460761040449142
innings_2_powerplay,augmented,2,venue_chase_success,0.022037846967577934
innings_2_powerplay,augmented,2,batting_won_toss,0.02176843397319317
innings_2_powerplay,augmented,2,cand_target_above_par_x_wickets,0.044157158583402634
innings_2_powerplay,augmented,2,cand_target_above_par_x_venue_chase,0.022043975070118904
innings_2_powerplay,augmented,2,cand_inn1_def_x_batting_wr,0.025886287912726402
innings_2_powerplay,augmented,2,cand_required_minus_current_rr,0.030238639563322067
innings_2_powerplay,augmented,2,cand_early_chase_wicket_shock,0.019159646704792976
innings_2_powerplay,augmented,2,cand_target_x_early_wicket_shock,0.023056510835886
innings_2_powerplay,augmented,3,expected_final_score,0.025521019473671913
innings_2_powerplay,augmented,3,resource_win_prob,0.12867653369903564
innings_2_powerplay,augmented,3,score_vs_par,0.02510225586593151
innings_2_powerplay,augmented,3,dls_pressure_index,0.05879399552941322
innings_2_powerplay,augmented,3,projected_vs_venue_avg,0.0
innings_2_powerplay,augmented,3,projected_score,0.0
innings_2_powerplay,augmented,3,is_powerplay,0.0
innings_2_powerplay,augmented,3,score_per_wicket,0.018031127750873566
innings_2_powerplay,augmented,3,run_rate_diff,0.018487026914954185
innings_2_powerplay,augmented,3,required_run_rate,0.019680002704262733
innings_2_powerplay,augmented,3,chase_difficulty,0.01961721107363701
innings_2_powerplay,augmented,3,wickets_times_balls,0.018663514405488968
innings_2_powerplay,augmented,3,pressure_index,0.20380543172359467
innings_2_powerplay,augmented,3,team_strength_diff,0.01838047057390213
innings_2_powerplay,augmented,3,rrr_times_wickets,0.023098569363355637
innings_2_powerplay,augmented,3,overs_remaining,0.0
innings_2_powerplay,augmented,3,batting_team_win_rate,0.022359924390912056
innings_2_powerplay,augmented,3,bowling_team_win_rate,0.016700785607099533
innings_2_powerplay,augmented,3,batting_team_situation_wr,0.01739358715713024
innings_2_powerplay,augmented,3,situation_advantage,0.018116971477866173
innings_2_powerplay,augmented,3,boundary_pct_last_18,0.006323883775621653
innings_2_powerplay,augmented,3,bowling_team_situation_wr,0.02018694579601288
innings_2_powerplay,augmented,3,runs_last_12,0.010435099713504314
innings_2_powerplay,augmented,3,runs_last_18,0.015018687583506107
innings_2_powerplay,augmented,3,wickets_last_12,0.0
innings_2_powerplay,augmented,3,inn1_defendability,0.023753903806209564
innings_2_powerplay,augmented,3,target_above_par,0.029249155893921852
innings_2_powerplay,augmented,3,inn1_wickets_lost,0.02004963345825672
innings_2_powerplay,augmented,3,inn1_death_rr,0.019261742010712624
innings_2_powerplay,augmented,3,inn1_pp_runs,0.021929465234279633
innings_2_powerplay,augmented,3,venue_chase_success,0.018183989450335503
innings_2_powerplay,augmented,3,batting_won_toss,0.02034628950059414
innings_2_powerplay,augmented,3,cand_target_above_par_x_wickets,0.035383764654397964
innings_2_powerplay,augmented,3,cand_target_above_par_x_venue_chase,0.022372497245669365
innings_2_powerplay,augmented,3,cand_inn1_def_x_batting_wr,0.022889384999871254
innings_2_powerplay,augmented,3,cand_required_minus_current_rr,0.02781909704208374
innings_2_powerplay,augmented,3,cand_early_chase_wicket_shock,0.013644224032759666
innings_2_powerplay,augmented,3,cand_target_x_early_wicket_shock,0.020723776891827583
innings_2_powerplay,augmented,4,expected_final_score,0.026097554713487625
innings_2_powerplay,augmented,4,resource_win_prob,0.1570924073457718
innings_2_powerplay,augmented,4,score_vs_par,0.025857826694846153
innings_2_powerplay,augmented,4,dls_pressure_index,0.07528797537088394
innings_2_powerplay,augmented,4,projected_vs_venue_avg,0.0
innings_2_powerplay,augmented,4,projected_score,0.0
innings_2_powerplay,augmented,4,is_powerplay,0.0
innings_2_powerplay,augmented,4,score_per_wicket,0.012749534100294113
innings_2_powerplay,augmented,4,run_rate_diff,0.017304817214608192
innings_2_powerplay,augmented,4,required_run_rate,0.016421379521489143
innings_2_powerplay,augmented,4,chase_difficulty,0.018851757049560547
innings_2_powerplay,augmented,4,wickets_times_balls,0.01834080182015896
innings_2_powerplay,augmented,4,pressure_index,0.2063363790512085
innings_2_powerplay,augmented,4,team_strength_diff,0.017273634672164917
innings_2_powerplay,augmented,4,rrr_times_wickets,0.012089078314602375
innings_2_powerplay,augmented,4,overs_remaining,0.0
innings_2_powerplay,augmented,4,batting_team_win_rate,0.01952357217669487
innings_2_powerplay,augmented,4,bowling_team_win_rate,0.015564564615488052
innings_2_powerplay,augmented,4,batting_team_situation_wr,0.016114499419927597
innings_2_powerplay,augmented,4,situation_advantage,0.018811333924531937
innings_2_powerplay,augmented,4,boundary_pct_last_18,0.010250519029796124
innings_2_powerplay,augmented,4,bowling_team_situation_wr,0.014553307555615902
innings_2_powerplay,augmented,4,runs_last_12,0.009342608973383904
innings_2_powerplay,augmented,4,runs_last_18,0.010218429379165173
innings_2_powerplay,augmented,4,wickets_last_12,0.004683854058384895
innings_2_powerplay,augmented,4,inn1_defendability,0.017518874257802963
innings_2_powerplay,augmented,4,target_above_par,0.03201877325773239
innings_2_powerplay,augmented,4,inn1_wickets_lost,0.016804862767457962
innings_2_powerplay,augmented,4,inn1_death_rr,0.018271049484610558
innings_2_powerplay,augmented,4,inn1_pp_runs,0.01984194852411747
innings_2_powerplay,augmented,4,venue_chase_success,0.014171435497701168
innings_2_powerplay,augmented,4,batting_won_toss,0.019451413303613663
innings_2_powerplay,augmented,4,cand_target_above_par_x_wickets,0.03892757371068001
innings_2_powerplay,augmented,4,cand_target_above_par_x_venue_chase,0.01488668192178011
innings_2_powerplay,augmented,4,cand_inn1_def_x_batting_wr,0.01997278444468975
innings_2_powerplay,augmented,4,cand_required_minus_current_rr,0.02384878508746624
innings_2_powerplay,augmented,4,cand_early_chase_wicket_shock,0.016875382512807846
innings_2_powerplay,augmented,4,cand_target_x_early_wicket_shock,0.02464463748037815
innings_1_death,baseline,1,expected_final_score,0.04982031136751175
innings_1_death,baseline,1,resource_win_prob,0.07063595205545425
innings_1_death,baseline,1,score_vs_par,0.02479739300906658
innings_1_death,baseline,1,dls_pressure_index,0.033215995877981186
