row_key,match_id,season,date,innings,over,ball,phase_label,batting_team,bowling_team,winner,is_winner,overs_remaining,resource_win_prob,regime_id,regime_label,stability_flag,regime_confidence,regime_cluster_win_rate,regime_cluster_size,method,split,predicted_prob,predicted_label,prediction_error,correct,confidence_strength,wrong_direction
1473441:2:1:2,1473441,2025,2025-03-24,2,1,2,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,18.666666666666668,0.20818691933210182,4,pressure_state,stable,0.11753877751644849,0.3551443585529653,49287,regime_cluster_features,holdout,0.049110536925626044,0,0.9508894630743739,False,0.9508894630743739,false_negative
1473468:2:2:6,1473468,2025,2025-04-15,2,2,6,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,17.0,0.9743013481821787,3,pressure_state,stable,0.12897865080258133,0.5326319319277361,47714,regime_cluster_features,holdout,0.9504567360967259,1,0.9504567360967259,False,0.9504567360967259,false_positive
1473468:2:2:5,1473468,2025,2025-04-15,2,2,5,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,17.166666666666668,0.9746280072974002,3,pressure_state,stable,0.12509594065525442,0.5326319319277361,47714,regime_cluster_features,holdout,0.9503798360415715,1,0.9503798360415715,False,0.9503798360415715,false_positive
1359516:2:2:1,1359516,2023,2023-04-30,2,2,1,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,17.833333333333332,0.21798995388218978,3,pressure_state,stable,0.13200529743423617,0.5326319319277361,47714,regime_cluster_features,holdout,0.04978886460050323,0,0.9502111353994968,False,0.9502111353994968,false_negative
1359504:2:5:2,1359504,2023,2023-04-22,2,5,2,powerplay,Lucknow Super Giants,Gujarat Titans,Gujarat Titans,0,14.666666666666666,0.9659071366887099,3,pressure_state,stable,0.1678846254303759,0.5326319319277361,47714,regime_cluster_features,holdout,0.9501661852304801,1,0.9501661852304801,False,0.9501661852304801,false_positive
1426277:2:2:6,1426277,2024,2024-04-23,2,2,6,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,17.0,0.20802691115277733,3,pressure_state,stable,0.14249364424941147,0.5326319319277361,47714,regime_cluster_features,holdout,0.05023361247583529,0,0.9497663875241648,False,0.9497663875241648,false_negative
1359516:2:1:6,1359516,2023,2023-04-30,2,1,6,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,18.0,0.22456742144134517,3,pressure_state,stable,0.13293283613134457,0.5326319319277361,47714,regime_cluster_features,holdout,0.05029781658188431,0,0.9497021834181157,False,0.9497021834181157,false_negative
1527675:2:1:1,1527675,2026,2026-03-29,2,1,1,powerplay,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,18.833333333333332,0.20490218816445216,3,pressure_state,stable,0.13318018243818527,0.5326319319277361,47714,regime_cluster_features,holdout,0.050337527664168887,0,0.9496624723358311,False,0.9496624723358311,false_negative
1359489:2:1:6,1359489,2023,2023-04-10,2,1,6,powerplay,Lucknow Super Giants,Royal Challengers Bengaluru,Lucknow Super Giants,1,18.0,0.1869701899845468,0,pressure_state,stable,0.11757770874745498,0.12566037735849056,23850,regime_cluster_features,holdout,0.05078301378850748,0,0.9492169862114925,False,0.9492169862114925,false_negative
1426277:2:2:5,1426277,2024,2024-04-23,2,2,5,powerplay,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,1,17.166666666666668,0.2146094485679163,3,pressure_state,stable,0.14319157491913442,0.5326319319277361,47714,regime_cluster_features,holdout,0.05121337079169539,0,0.9487866292083046,False,0.9487866292083046,false_negative
1359516:2:2:2,1359516,2023,2023-04-30,2,2,2,powerplay,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,17.666666666666668,0.22099023020185662,3,pressure_state,stable,0.13484015364153765,0.5326319319277361,47714,regime_cluster_features,holdout,0.0512326845144747,0,0.9487673154855253,False,0.9487673154855253,false_negative
1473441:2:1:1,1473441,2025,2025-03-24,2,1,1,powerplay,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,1,18.833333333333332,0.23217066488837937,4,pressure_state,stable,0.1199858786851464,0.3551443585529653,49287,regime_cluster_features,holdout,0.051486978813550875,0,0.9485130211864491,False,0.9485130211864491,false_negative
1473468:2:1:3,1473468,2025,2025-04-15,2,1,3,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,18.5,0.9583530653382335,3,pressure_state,stable,0.1124169281954616,0.5326319319277361,47714,regime_cluster_features,holdout,0.948479383623323,1,0.948479383623323,False,0.948479383623323,false_positive
1473468:2:3:2,1473468,2025,2025-04-15,2,3,2,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.666666666666668,0.9692164572133083,3,pressure_state,stable,0.13095882940795034,0.5326319319277361,47714,regime_cluster_features,holdout,0.9484495033429389,1,0.9484495033429389,False,0.9484495033429389,false_positive
1473468:2:3:4,1473468,2025,2025-04-15,2,3,4,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.333333333333332,0.9730002437984895,3,pressure_state,stable,0.130910040790543,0.5326319319277361,47714,regime_cluster_features,holdout,0.9482429507601471,1,0.9482429507601471,False,0.9482429507601471,false_positive
1473468:2:3:1,1473468,2025,2025-04-15,2,3,1,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.833333333333332,0.9738651279902903,3,pressure_state,stable,0.1269085934691778,0.5326319319277361,47714,regime_cluster_features,holdout,0.9480936913002677,1,0.9480936913002677,False,0.9480936913002677,false_positive
1473468:2:3:3,1473468,2025,2025-04-15,2,3,3,powerplay,Kolkata Knight Riders,Punjab Kings,Punjab Kings,0,16.5,0.9710876865680468,3,pressure_state,stable,0.13037337222033593,0.5326319319277361,47714,regime_cluster_features,holdout,0.9478193201898013,1,0.9478193201898013,False,0.9478193201898013,false_positive
