method,split,segment,n,brier,ece,log_loss
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_1,302,0.3406287808955135,0.30594477761393574,0.9252642812886323
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_1_powerplay,80,0.3172419784204831,0.34198594948001126,0.8529140794718997
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_1_middle,144,0.3461081564737684,0.3066132537334095,0.9445915008370219
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_1_death,78,0.3544994746741511,0.32801351396366824,0.9637885957805614
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_2,277,0.24776274255585382,0.19682125022647398,0.73196863146787
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_2_powerplay,80,0.35706773928057955,0.365221022353473,1.0198855332278083
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_2_middle,135,0.21896339393952133,0.16392821003577127,0.6586453522216433
ml_add_mc_gap_features_inn2_only,oof_fold_2,innings_2_death,62,0.16943229618854447,0.1522122176386874,0.5201184791686042
ml_replace_resource_with_mc,oof_fold_2,overall,579,0.28711413637999494,0.21772416172736922,0.8048830726835718
ml_replace_resource_with_mc,oof_fold_2,innings_1,302,0.3443290737853351,0.3152389563050575,0.9339876193574642
ml_replace_resource_with_mc,oof_fold_2,innings_1_powerplay,80,0.3213746660842388,0.2961935707559549,0.8666821813730159
ml_replace_resource_with_mc,oof_fold_2,innings_1_middle,144,0.35250337381241026,0.34402119263323516,0.9574818781780515
ml_replace_resource_with_mc,oof_fold_2,innings_1_death,78,0.3527810406082694,0.34109713642368433,0.9596448215188906
ml_replace_resource_with_mc,oof_fold_2,innings_2,277,0.22473539595973246,0.1431382445068345,0.6641264911113138
ml_replace_resource_with_mc,oof_fold_2,innings_2_powerplay,80,0.3247771537585572,0.2799012715675905,0.9191039552327223
ml_replace_resource_with_mc,oof_fold_2,innings_2_middle,135,0.19804922725777094,0.15749737629114777,0.5999148365166266
ml_replace_resource_with_mc,oof_fold_2,innings_2_death,62,0.15375623710261674,0.10190149516824762,0.474939011120509
ml_replace_resource_with_mc_inn2_only,oof_fold_2,overall,579,0.2910601936334205,0.2363868382502152,0.8163488354558299
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_1,302,0.34967875338901167,0.3279110979301616,0.9483926674403081
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_1_powerplay,80,0.32263565408733463,0.31319726498542155,0.8674270260924107
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_1_middle,144,0.35802245892866885,0.350811609384202,0.9732540132296283
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_1_death,78,0.36201150142008254,0.349451946858994,0.985536481724535
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_2,277,0.22715115014537526,0.17006598333387515,0.6723876901153519
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_2_powerplay,80,0.33002481853734295,0.2879751327039544,0.9364729014574319
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_2_middle,135,0.19969902927391417,0.16686484612115476,0.605625783640183
ml_replace_resource_with_mc_inn2_only,oof_fold_2,innings_2_death,62,0.1541857121823081,0.12670666596275174,0.47700124603118044
ml_clean_swap_resource,oof_fold_2,overall,579,0.29638233295939426,0.2309526132721407,0.82882925662551
ml_clean_swap_resource,oof_fold_2,innings_1,302,0.34547691592501784,0.3155004629388154,0.9354946904202671
ml_clean_swap_resource,oof_fold_2,innings_1_powerplay,80,0.3259514001054886,0.29334811071510913,0.8747742682290953
ml_clean_swap_resource,oof_fold_2,innings_1_middle,144,0.34967540076301123,0.31976387135219436,0.9506526773523388
ml_clean_swap_resource,oof_fold_2,innings_1_death,78,0.35775203706464986,0.33754139752252255,0.9697880706391828
ml_clean_swap_resource,oof_fold_2,innings_2,277,0.2428568309535518,0.16112981000937102,0.7125369786254497
ml_clean_swap_resource,oof_fold_2,innings_2_powerplay,80,0.3463811337557733,0.30082139053232676,0.9860083135576069
ml_clean_swap_resource,oof_fold_2,innings_2_middle,135,0.2142726132135068,0.1350742083825922,0.6399588214739613
ml_clean_swap_resource,oof_fold_2,innings_2_death,62,0.1715169143523965,0.14564131674066144,0.5177038241234881
ml_clean_swap_resource_inn2_only,oof_fold_2,overall,579,0.2936871844352443,0.22511922579307275,0.8212801240469988
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_1,302,0.3379304049765619,0.3078780741790733,0.9161612503462885
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_1_powerplay,80,0.3167714827124614,0.2798929597452312,0.8508790520293642
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_1_middle,144,0.3423602801608052,0.31154852403855243,0.9321820854590235
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_1_death,78,0.3514536325996003,0.33630965013326325,0.9535404248221864
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_2,277,0.2454508934479594,0.1815349723785331,0.7178357192008418
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_2_powerplay,80,0.3509941525692222,0.3285298510021335,0.9945766445408258
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_2_middle,135,0.21587961018595322,0.15205726211563064,0.6437887648685248
ml_clean_swap_resource_inn2_only,oof_fold_2,innings_2_death,62,0.1736551274910208,0.14796747736032642,0.5219819257760691
baseline_ipl_v6_features,oof_fold_3,overall,579,0.1922041848238904,0.10887061801074634,0.5660707915398313
baseline_ipl_v6_features,oof_fold_3,innings_1,306,0.1820137378138232,0.11615754783647557,0.5415335126979117
baseline_ipl_v6_features,oof_fold_3,innings_1_powerplay,85,0.20274669560067587,0.12162014154158873,0.5900603571000601
baseline_ipl_v6_features,oof_fold_3,innings_1_middle,147,0.17741918406531731,0.12010087272663313,0.5301558367135099
baseline_ipl_v6_features,oof_fold_3,innings_1_death,74,0.16732587280230826,0.15981031736130896,0.5083948180428368
baseline_ipl_v6_features,oof_fold_3,innings_2,273,0.20362644410989977,0.14417470115276565,0.5935741150769279
baseline_ipl_v6_features,oof_fold_3,innings_2_powerplay,80,0.18717284445955815,0.15071599256808,0.5502465992975851
baseline_ipl_v6_features,oof_fold_3,innings_2_middle,133,0.22207275468256768,0.1757591217196044,0.6424006125465909
baseline_ipl_v6_features,oof_fold_3,innings_2_death,60,0.18467525520760814,0.12637224571084,0.543112066724966
mc_standalone_calibrated,oof_fold_3,overall,579,0.23119102947497028,0.08631119280571002,0.6470194867383423
mc_standalone_calibrated,oof_fold_3,innings_1,306,0.23971368982101712,0.0566465710155927,0.672225858347308
mc_standalone_calibrated,oof_fold_3,innings_1_powerplay,85,0.24738066235024497,0.046263935407854256,0.6889901090306884
mc_standalone_calibrated,oof_fold_3,innings_1_middle,147,0.2344763282850755,0.07571834905132901,0.6601576932053805
mc_standalone_calibrated,oof_fold_3,innings_1_death,74,0.24131098010208538,0.11361068623849618,0.6769428714253621
mc_standalone_calibrated,oof_fold_3,innings_2,273,0.2216381574387419,0.1659337119026829,0.6187661910887323
mc_standalone_calibrated,oof_fold_3,innings_2_powerplay,80,0.22851854552150713,0.19464305046782823,0.6314271809075152
mc_standalone_calibrated,oof_fold_3,innings_2_middle,133,0.23180969459957232,0.19889078031545915,0.6297488460498736
mc_standalone_calibrated,oof_fold_3,innings_2_death,60,0.18991739928854748,0.156103514844707,0.5775399861664925
ml_add_mc_win_prob,oof_fold_3,overall,579,0.20056145092960118,0.05141498893864848,0.582540641910542
ml_add_mc_win_prob,oof_fold_3,innings_1,306,0.21772414318242098,0.06610317429992636,0.6261615190123376
ml_add_mc_win_prob,oof_fold_3,innings_1_powerplay,85,0.25239228198871666,0.17688942962110207,0.7014969680375925
ml_add_mc_win_prob,oof_fold_3,innings_1_middle,147,0.21102148154712874,0.09010809819278363,0.611521716380169
ml_add_mc_win_prob,oof_fold_3,innings_1_death,74,0.19121737915340506,0.08195992967613226,0.5687093273877719
ml_add_mc_win_prob,oof_fold_3,innings_2,273,0.1813241475253417,0.11153495765525377,0.533646911532705
ml_add_mc_win_prob,oof_fold_3,innings_2_powerplay,80,0.164682418011151,0.16787787102026075,0.49959142824091884
ml_add_mc_win_prob,oof_fold_3,innings_2_middle,133,0.1984479202925229,0.16137164912567584,0.5765882087708941
ml_add_mc_win_prob,oof_fold_3,innings_2_death,60,0.16555542391034445,0.12960963142643092,0.48386768037710076
ml_add_mc_win_prob_inn2_only,oof_fold_3,overall,579,0.19782411723789173,0.05199150778037138,0.5758513820034152
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_1,306,0.2145081161893026,0.07170191891136812,0.6183182000568014
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_1_powerplay,85,0.25371378963184743,0.17698297152997008,0.7040813722495677
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_1_middle,147,0.20618104815373406,0.06220750088395694,0.5999248612654008
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_1_death,74,0.1860161804948738,0.10937103979679683,0.5563445671642442
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_2,273,0.17912337116048616,0.10993686436299037,0.5282512123172021
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_2_powerplay,80,0.16205799990448289,0.15960045791828892,0.4943114786918031
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_2_middle,133,0.19616058110589046,0.1629712008235508,0.5701810541079047
ml_add_mc_win_prob_inn2_only,oof_fold_3,innings_2_death,60,0.16411138412284426,0.12459108379516885,0.4805597078483439
ml_add_mc_gap_features,oof_fold_3,overall,579,0.187044376219385,0.09404208827423462,0.5543023962538829
ml_add_mc_gap_features,oof_fold_3,innings_1,306,0.18137158091457467,0.11130782680736293,0.5403179050022278
ml_add_mc_gap_features,oof_fold_3,innings_1_powerplay,85,0.20924866177358703,0.08613204742331527,0.6061777551871529
ml_add_mc_gap_features,oof_fold_3,innings_1_middle,147,0.17389041497016874,0.11960361295342828,0.5215078648910981
ml_add_mc_gap_features,oof_fold_3,innings_1_death,74,0.1642118447093263,0.1685909818206945,0.502033967578139
ml_add_mc_gap_features,oof_fold_3,innings_2,273,0.19340289403356797,0.13747579969853974,0.5699773205139799
ml_add_mc_gap_features,oof_fold_3,innings_2_powerplay,80,0.17172309707300684,0.1749649668915877,0.5144694219444891
ml_add_mc_gap_features,oof_fold_3,innings_2_middle,133,0.2120001212342716,0.1628353788127202,0.6169464593120599
ml_add_mc_gap_features,oof_fold_3,innings_2_death,60,0.18108543635275645,0.16257845123178702,0.5398729276042236
ml_add_mc_gap_features_inn2_only,oof_fold_3,overall,579,0.1870470224179651,0.0940674192780452,0.5550421280775507
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_1,306,0.18123470020932014,0.11474369799548816,0.5396666265709871
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_1_powerplay,85,0.20440499476452073,0.12045989150491429,0.594204141871417
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_1_middle,147,0.1770448239554494,0.09673359726345195,0.5289765055315829
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_1_death,74,0.16294330523806277,0.17972096524405518,0.4982579643041743
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_2,273,0.1935619330254572,0.12592669141085844,0.5722762066893035
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_2_powerplay,80,0.16959630319679525,0.1361648937912337,0.5114936008550094
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_2_middle,133,0.2135955384564343,0.14926125232331242,0.6243032121723033
ml_add_mc_gap_features_inn2_only,oof_fold_3,innings_2_death,60,0.18110828075834065,0.16357925566304324,0.5379931523143792
