variant,feature,importance
ml_clean_swap_resource_inn2_only,batting_won_toss,0.02178044803440571
ml_clean_swap_resource_inn2_only,score_per_wicket,0.019999650306999683
ml_clean_swap_resource_inn2_only,projected_vs_venue_avg,0.01919051236473024
ml_clean_swap_resource_inn2_only,chase_difficulty,0.018528663087636232
ml_clean_swap_resource_inn2_only,wickets_times_balls,0.018006531754508615
ml_clean_swap_resource_inn2_only,rrr_times_wickets,0.017414157395251095
ml_clean_swap_resource_inn2_only,overs_remaining,0.009210417978465557
ml_clean_swap_resource_inn2_only,runs_last_18,0.00898088316898793
ml_clean_swap_resource_inn2_only,runs_last_12,0.008183964295312762
ml_clean_swap_resource_inn2_only,boundary_pct_last_18,0.005485082045197487
ml_clean_swap_resource_inn2_only,is_powerplay,0.004540337482467294
ml_clean_swap_resource_inn2_only,wickets_last_12,0.0022913317661732435
ml_replace_resource_with_mc,run_rate_diff,0.10556918010115623
ml_replace_resource_with_mc,resource_win_prob,0.10469659138470888
ml_replace_resource_with_mc,mc_win_prob,0.09296449925750494
ml_replace_resource_with_mc,situation_advantage,0.04939382243901491
ml_replace_resource_with_mc,team_strength_diff,0.04156957659870386
ml_replace_resource_with_mc,bowling_team_situation_wr,0.039165252819657326
ml_replace_resource_with_mc,expected_final_score,0.038889510091394186
ml_replace_resource_with_mc,required_run_rate,0.03660118021070957
ml_replace_resource_with_mc,inn1_defendability,0.03512434661388397
ml_replace_resource_with_mc,score_vs_par,0.03232812788337469
ml_replace_resource_with_mc,bowling_team_win_rate,0.03219255991280079
ml_replace_resource_with_mc,batting_team_situation_wr,0.0320580224506557
ml_replace_resource_with_mc,target_above_par,0.03197139501571655
ml_replace_resource_with_mc,inn1_death_rr,0.0308408560231328
ml_replace_resource_with_mc,chase_difficulty,0.02972942660562694
ml_replace_resource_with_mc,batting_team_win_rate,0.028213756158947945
ml_replace_resource_with_mc,projected_score,0.027631978504359722
ml_replace_resource_with_mc,mc_simulation_std,0.024472277145832777
ml_replace_resource_with_mc,score_per_wicket,0.02097795158624649
ml_replace_resource_with_mc,pressure_index,0.02088472107425332
ml_replace_resource_with_mc,inn1_wickets_lost,0.018624816555529833
ml_replace_resource_with_mc,dls_pressure_index,0.01766182528808713
ml_replace_resource_with_mc,projected_vs_venue_avg,0.016888386104255915
ml_replace_resource_with_mc,wickets_times_balls,0.014865886187180877
ml_replace_resource_with_mc,rrr_times_wickets,0.01289206522051245
ml_replace_resource_with_mc,mc_resource_gap,0.010508423671126366
ml_replace_resource_with_mc,mc_resource_abs_gap,0.00967651279643178
ml_replace_resource_with_mc,overs_remaining,0.009488875628449023
ml_replace_resource_with_mc,is_powerplay,0.008839308167807758
ml_replace_resource_with_mc,runs_last_18,0.007430097553879023
ml_replace_resource_with_mc,boundary_pct_last_18,0.007376212743110955
ml_replace_resource_with_mc,runs_last_12,0.0072860721265897155
ml_replace_resource_with_mc,wickets_last_12,0.0031865169294178486
ml_replace_resource_with_mc_inn2_only,run_rate_diff,0.14496670477092266
ml_replace_resource_with_mc_inn2_only,mc_win_prob,0.08232884667813778
ml_replace_resource_with_mc_inn2_only,resource_win_prob,0.05927670653909445
ml_replace_resource_with_mc_inn2_only,situation_advantage,0.05479154456406832
ml_replace_resource_with_mc_inn2_only,team_strength_diff,0.046324072405695915
ml_replace_resource_with_mc_inn2_only,required_run_rate,0.044249088037759066
ml_replace_resource_with_mc_inn2_only,bowling_team_situation_wr,0.03718775697052479
ml_replace_resource_with_mc_inn2_only,expected_final_score,0.03693259693682194
ml_replace_resource_with_mc_inn2_only,target_above_par,0.03673541871830821
ml_replace_resource_with_mc_inn2_only,inn1_defendability,0.0366001152433455
ml_replace_resource_with_mc_inn2_only,bowling_team_win_rate,0.0356625160202384
ml_replace_resource_with_mc_inn2_only,batting_team_situation_wr,0.03534184768795967
ml_replace_resource_with_mc_inn2_only,inn1_death_rr,0.03309612162411213
ml_replace_resource_with_mc_inn2_only,score_vs_par,0.031863344833254814
ml_replace_resource_with_mc_inn2_only,mc_simulation_std,0.02873326512053609
ml_replace_resource_with_mc_inn2_only,projected_score,0.027171337977051735
ml_replace_resource_with_mc_inn2_only,batting_team_win_rate,0.026061675511300564
ml_replace_resource_with_mc_inn2_only,inn1_wickets_lost,0.02218536613509059
ml_replace_resource_with_mc_inn2_only,score_per_wicket,0.020305772311985493
ml_replace_resource_with_mc_inn2_only,pressure_index,0.020305247511714697
ml_replace_resource_with_mc_inn2_only,dls_pressure_index,0.018411210039630532
ml_replace_resource_with_mc_inn2_only,wickets_times_balls,0.017714860616251826
ml_replace_resource_with_mc_inn2_only,projected_vs_venue_avg,0.01767347869463265
ml_replace_resource_with_mc_inn2_only,mc_resource_abs_gap,0.013814825098961592
ml_replace_resource_with_mc_inn2_only,overs_remaining,0.010453610215336084
ml_replace_resource_with_mc_inn2_only,mc_resource_gap,0.00971483311150223
ml_replace_resource_with_mc_inn2_only,runs_last_18,0.009075680514797568
ml_replace_resource_with_mc_inn2_only,chase_difficulty,0.008832822553813457
ml_replace_resource_with_mc_inn2_only,is_powerplay,0.008813690626993775
ml_replace_resource_with_mc_inn2_only,runs_last_12,0.008804514305666089
ml_replace_resource_with_mc_inn2_only,boundary_pct_last_18,0.007089874939993024
ml_replace_resource_with_mc_inn2_only,rrr_times_wickets,0.006989629473537207
ml_replace_resource_with_mc_inn2_only,wickets_last_12,0.002491655992344022
