feature,importance,method,fold
resource_win_prob,0.19276518,augmented_horseshoe_selected,2
dls_pressure_index,0.16441439,augmented_horseshoe_selected,2
score_vs_par,0.046248283,augmented_horseshoe_selected,2
run_rate_diff,0.026828669,augmented_horseshoe_selected,2
inn1_defendability,0.024110189,augmented_horseshoe_selected,2
venue_chase_success,0.0235805,augmented_horseshoe_selected,2
expected_final_score,0.023341725,augmented_horseshoe_selected,2
bowling_team_situation_wr,0.022402763,augmented_horseshoe_selected,2
hs_i2_target_above_par_x_wickets,0.0221992,augmented_horseshoe_selected,2
target_above_par,0.021294335,augmented_horseshoe_selected,2
inn1_pp_runs,0.02107806,augmented_horseshoe_selected,2
inn1_wickets_lost,0.021037053,augmented_horseshoe_selected,2
projected_vs_venue_avg,0.020797987,augmented_horseshoe_selected,2
batting_team_situation_wr,0.020574948,augmented_horseshoe_selected,2
bowling_team_win_rate,0.019858085,augmented_horseshoe_selected,2
team_strength_diff,0.01979158,augmented_horseshoe_selected,2
situation_advantage,0.019732654,augmented_horseshoe_selected,2
rrr_times_wickets,0.01967388,augmented_horseshoe_selected,2
batting_team_win_rate,0.019342605,augmented_horseshoe_selected,2
hs_i2_inn1_def_x_required_rr,0.018773587,augmented_horseshoe_selected,2
inn1_death_rr,0.018469453,augmented_horseshoe_selected,2
batting_won_toss,0.017093698,augmented_horseshoe_selected,2
projected_score,0.016161602,augmented_horseshoe_selected,2
chase_difficulty,0.015306379,augmented_horseshoe_selected,2
hs_i1death_score_vs_par_x_wih,0.014206658,augmented_horseshoe_selected,2
hs_i2pp_target_x_early_wicket_shock,0.013197598,augmented_horseshoe_selected,2
hs_i2_resource_pressure,0.010751866,augmented_horseshoe_selected,2
pressure_index,0.010219223,augmented_horseshoe_selected,2
hs_i1death_bowling_situation_x_wih,0.010206969,augmented_horseshoe_selected,2
score_per_wicket,0.010191973,augmented_horseshoe_selected,2
hs_i2pp_early_chase_wicket_shock,0.009998035,augmented_horseshoe_selected,2
hs_i1death_expected_final_x_wih,0.009644624,augmented_horseshoe_selected,2
wickets_last_12,0.009540862,augmented_horseshoe_selected,2
wickets_times_balls,0.009189686,augmented_horseshoe_selected,2
required_run_rate,0.008587837,augmented_horseshoe_selected,2
hs_i2pp_inn1_def_x_batting_wr,0.0085368175,augmented_horseshoe_selected,2
overs_remaining,0.008320304,augmented_horseshoe_selected,2
hs_i2pp_target_above_par_x_wickets,0.0073774653,augmented_horseshoe_selected,2
hs_i2pp_target_above_par_x_venue_chase,0.0066076326,augmented_horseshoe_selected,2
runs_last_18,0.0059285457,augmented_horseshoe_selected,2
runs_last_12,0.0058750166,augmented_horseshoe_selected,2
boundary_pct_last_18,0.0042070816,augmented_horseshoe_selected,2
hs_i1death_projected_vs_venue_x_wih,0.0025348316,augmented_horseshoe_selected,2
is_powerplay,0.0,augmented_horseshoe_selected,2
hs_i1death_wickets_in_hand,0.0,augmented_horseshoe_selected,2
hs_i1death_resource_pressure,0.0,augmented_horseshoe_selected,2
resource_win_prob,0.24020101,baseline_v6_features,3
dls_pressure_index,0.15013243,baseline_v6_features,3
score_vs_par,0.07225137,baseline_v6_features,3
run_rate_diff,0.04531938,baseline_v6_features,3
expected_final_score,0.030098356,baseline_v6_features,3
target_above_par,0.025893055,baseline_v6_features,3
venue_chase_success,0.025593065,baseline_v6_features,3
inn1_pp_runs,0.024297215,baseline_v6_features,3
inn1_wickets_lost,0.02370476,baseline_v6_features,3
batting_won_toss,0.02335009,baseline_v6_features,3
