version,segment,target_bucket,n,brier,logloss,mean_pred,actual_wr,gap_pp
replace_mid_only,overall,below_par_easy,1953,0.1428730567344574,0.5477799993244945,0.7867437679445975,0.9559651817716334,-16.922141382703582
replace_mid_only,overall,par,3836,0.12632642583177842,0.3945173646077313,0.5503850509155676,0.5907194994786236,-4.033444856305602
replace_mid_only,pp_0_6,all,3481,0.14382286331547456,0.49928495134254086,0.4717248773090524,0.5466819879345016,-7.495711062544924
replace_mid_only,pp_0_6,above_par_hard,1394,0.12873237748619296,0.3942073686406479,0.27659225813489446,0.27116212338593976,0.5430134748954707
replace_mid_only,pp_0_6,below_par_easy,780,0.15399893978323126,0.7224869788020897,0.770038677253844,0.9538461538461539,-18.38074765923099
replace_mid_only,pp_0_6,par,1307,0.15384489667520548,0.47815302239685675,0.5018167726203291,0.5975516449885233,-9.573487236819423
replace_mid_only,early_mid_7_12,all,3418,0.11775229311332783,0.3787358230952041,0.5158067976140341,0.5430076067875951,-2.7200809173560936
replace_mid_only,early_mid_7_12,above_par_hard,1388,0.08612254296387496,0.2920105305443915,0.3141511337460891,0.2665706051873199,4.758052855876921
replace_mid_only,early_mid_7_12,below_par_easy,726,0.15465538973521825,0.4961334434838883,0.7785761733580452,0.9490358126721763,-17.045963931413112
replace_mid_only,early_mid_7_12,par,1304,0.13087380006114083,0.40568676915221563,0.5841561033337854,0.6111963190184049,-2.704021568461945
replace_mid_only,late_mid_13_15,all,1632,0.07868713915884035,0.2638788346119772,0.5302336412565164,0.5263480392156863,0.3885602040830105
replace_mid_only,late_mid_13_15,above_par_hard,701,0.056942455242747644,0.2076457594115755,0.332108162384474,0.2710413694721826,6.106679291229139
replace_mid_only,late_mid_13_15,below_par_easy,284,0.1120424953146839,0.3557861923108073,0.8255037061155606,0.954225352112676,-12.872164599711544
replace_mid_only,late_mid_13_15,par,647,0.08760538069967716,0.2844625998809321,0.6152865968505399,0.615146831530139,0.01397653204008309
replace_mid_only,full_mid_7_15,all,5050,0.10512767306308554,0.3416176834507237,0.520469096391169,0.5376237623762377,-1.7154665985068651
replace_mid_only,full_mid_7_15,above_par_hard,2089,0.07633066096650291,0.26370047570279076,0.3201769245912341,0.26807084729535663,5.210607729587746
replace_mid_only,full_mid_7_15,below_par_easy,1010,0.14267315011597886,0.45666946394611113,0.7917716380146139,0.9504950495049505,-15.872341149033653
replace_mid_only,full_mid_7_15,par,1951,0.11652491880698038,0.36548582731801754,0.5944797472627141,0.6125064069707842,-1.8026659708070047
replace_mid_only,death_16_20,all,1516,0.06493365551031245,0.2101839796801359,0.4305886123090453,0.40369393139841686,2.689468091062847
replace_mid_only,death_16_20,above_par_hard,775,0.03542532084581636,0.1267623423231447,0.28517255939313557,0.20516129032258065,8.001126907055491
replace_mid_only,death_16_20,below_par_easy,163,0.09087131996525329,0.27630881367813254,0.8355279517977966,1.0,-16.44720482022034
replace_mid_only,death_16_20,par,578,0.0971847282764528,0.3033905904240714,0.5113711878681519,0.5017301038062284,0.9641084061923544
replace_pp_only,overall,all,10047,0.11069901683605786,0.37740943879692435,0.49012676315191966,0.5205533990245844,-3.0426635872664756
replace_pp_only,overall,above_par_hard,4258,0.08359965362221237,0.2759864598534338,0.29957500588854274,0.2576326914044152,4.194231448412755
replace_pp_only,overall,below_par_easy,1953,0.14142508149053623,0.5699101727254202,0.7869821550257163,0.9559651817716334,-16.898302674591704
replace_pp_only,overall,par,3836,0.12513621295033256,0.3919832424932306,0.5505049701638942,0.5907194994786236,-4.021452931472935
replace_pp_only,pp_0_6,all,3481,0.14078902802364981,0.5082274991044232,0.4721974885674446,0.5466819879345016,-7.448449936705703
replace_pp_only,pp_0_6,above_par_hard,1394,0.12328853022969853,0.38109484092422663,0.2792742086866917,0.27116212338593976,0.811208530075197
replace_pp_only,pp_0_6,below_par_easy,780,0.15382129036397918,0.7927808013129707,0.7687371978676492,0.9538461538461539,-18.510895597850475
replace_pp_only,pp_0_6,par,1307,0.15167696168800415,0.47400511944147533,0.5009917340912473,0.5975516449885233,-9.6559910897276
replace_pp_only,early_mid_7_12,all,3418,0.11612495682962978,0.3741350538450953,0.5161828651839352,0.5430076067875951,-2.6824741603659885
replace_pp_only,early_mid_7_12,above_par_hard,1388,0.08503953067340937,0.290246248945025,0.3132433301426581,0.2665706051873199,4.66727249553382
replace_pp_only,early_mid_7_12,below_par_easy,726,0.1510655890478071,0.48181849417420136,0.7810600695129621,0.9490358126721763,-16.797574315921416
replace_pp_only,early_mid_7_12,par,1304,0.1297596750155479,0.40347514857083655,0.584725215102968,0.6111963190184049,-2.6471103915436833
