method,split,segment,n,brier,ece,log_loss
ml_add_mc_win_prob,oof_fold_4,innings_1_powerplay,75,0.2936194472359623,0.21232740220065965,0.793706436131732
ml_add_mc_win_prob,oof_fold_4,innings_1_middle,141,0.2674267312599544,0.17606591242597,0.7510926420933572
ml_add_mc_win_prob,oof_fold_4,innings_1_death,80,0.23429372275878846,0.1322870544292286,0.673668913849086
ml_add_mc_win_prob,oof_fold_4,innings_2,283,0.13961845051998747,0.11438973745157839,0.43261005547073966
ml_add_mc_win_prob,oof_fold_4,innings_2_powerplay,80,0.18891582606287813,0.11543517785176258,0.5575990300829421
ml_add_mc_win_prob,oof_fold_4,innings_2_middle,140,0.1312265911427644,0.18738336835777977,0.41347904889562265
ml_add_mc_win_prob,oof_fold_4,innings_2_death,63,0.09566718495459028,0.14224002866891913,0.31640724517772656
ml_add_mc_gap_features,oof_fold_4,overall,579,0.2156979776033334,0.13167693448462378,0.6118249702901877
ml_add_mc_gap_features,oof_fold_4,innings_1,296,0.29114101835811707,0.21910740643685644,0.7963517952881176
ml_add_mc_gap_features,oof_fold_4,innings_1_powerplay,75,0.32384564137946825,0.29468644296531726,0.8604663737142009
ml_add_mc_gap_features,oof_fold_4,innings_1_middle,141,0.295635132938137,0.259327129352636,0.8127901886922477
ml_add_mc_gap_features,oof_fold_4,innings_1_death,80,0.2525595573283153,0.24046556550985404,0.7072717096388856
ml_add_mc_gap_features,oof_fold_4,innings_2,283,0.13678935547112145,0.12149523860132855,0.4188216480308687
ml_add_mc_gap_features,oof_fold_4,innings_2_powerplay,80,0.1886877328675406,0.1543801463452754,0.5572724142038397
ml_add_mc_gap_features,oof_fold_4,innings_2_middle,140,0.12769236697966022,0.13179923276263858,0.39631658642963996
ml_add_mc_gap_features,oof_fold_4,innings_2_death,63,0.09110218399637601,0.14777769097581403,0.29302239930601687
ml_replace_resource_with_mc,oof_fold_4,overall,579,0.20560117496264568,0.08551881855414376,0.5940751614557341
ml_replace_resource_with_mc,oof_fold_4,innings_1,296,0.26664468731087343,0.14829279440490953,0.7444542504405165
ml_replace_resource_with_mc,oof_fold_4,innings_1_powerplay,75,0.30066512027378095,0.23124697943750383,0.8086338138283222
ml_replace_resource_with_mc,oof_fold_4,innings_1_middle,141,0.2672173361439606,0.20497655183848376,0.7511844974955861
ml_replace_resource_with_mc,oof_fold_4,innings_1_death,80,0.23374123783983164,0.16389613774744244,0.6724238493298879
ml_replace_resource_with_mc,oof_fold_4,innings_2,283,0.14175354367262655,0.08533043251361348,0.43678819912536115
ml_replace_resource_with_mc,oof_fold_4,innings_2_powerplay,80,0.193756601455078,0.13485322778446399,0.5697584443396165
ml_replace_resource_with_mc,oof_fold_4,innings_2_middle,140,0.13449112703110666,0.1309069083273613,0.4188594502084416
ml_replace_resource_with_mc,oof_fold_4,innings_2_death,63,0.09185661839035127,0.13096213463735581,0.3077787583512071
ml_clean_swap_resource,oof_fold_4,overall,579,0.21418549797392192,0.12426039165482705,0.6082521549413399
ml_clean_swap_resource,oof_fold_4,innings_1,296,0.291050332848429,0.20376194229174457,0.7948495790941632
ml_clean_swap_resource,oof_fold_4,innings_1_powerplay,75,0.3150499920182685,0.22828215104377442,0.8408128525282711
ml_clean_swap_resource,oof_fold_4,innings_1_middle,141,0.298742119277129,0.263450158559655,0.8192132562511335
ml_clean_swap_resource,oof_fold_4,innings_1_death,80,0.25499387879612084,0.23464579518408227,0.7088180292605268
ml_clean_swap_resource,oof_fold_4,innings_2,283,0.13378976962461409,0.10575710711035596,0.41308311766488864
ml_clean_swap_resource,oof_fold_4,innings_2_powerplay,80,0.18348853194031148,0.15368124513303186,0.5435729857775475
ml_clean_swap_resource,oof_fold_4,innings_2_middle,140,0.12485792485878225,0.14284140490468733,0.3921947918746049
ml_clean_swap_resource,oof_fold_4,innings_2_death,63,0.09052877410018015,0.1453565004977922,0.2938001995954763
