method,split,segment,n,brier,ece,log_loss
ml_replace_resource_with_mc,oof_fold_4,innings_1_powerplay,75,0.2988762564583556,0.230116669980246,0.8050143091070326
ml_replace_resource_with_mc,oof_fold_4,innings_1_middle,141,0.26503183483545656,0.18508284471799372,0.7473953532049744
ml_replace_resource_with_mc,oof_fold_4,innings_1_death,80,0.23203949406694419,0.1631200536279147,0.6687084166634504
ml_replace_resource_with_mc,oof_fold_4,innings_2,283,0.1408450910129065,0.08667088467073934,0.43483861151506265
ml_replace_resource_with_mc,oof_fold_4,innings_2_powerplay,80,0.19245927596488963,0.11199812293921765,0.5673199140668552
ml_replace_resource_with_mc,oof_fold_4,innings_2_middle,140,0.13225170783153092,0.14096995967354628,0.4139394183238473
ml_replace_resource_with_mc,oof_fold_4,innings_2_death,63,0.09439967592138143,0.15377788561012334,0.3130510375885032
ml_clean_swap_resource,oof_fold_4,overall,579,0.21104490422212954,0.1144156051652716,0.6013995642401768
ml_clean_swap_resource,oof_fold_4,innings_1,296,0.2848171556800997,0.1959020132991898,0.7808906584872372
ml_clean_swap_resource,oof_fold_4,innings_1_powerplay,75,0.3098507850593831,0.2486130257998225,0.8299847974478797
ml_clean_swap_resource,oof_fold_4,innings_1_middle,141,0.29111156692257484,0.23662209135774814,0.8009467253927711
ml_clean_swap_resource,oof_fold_4,innings_1_death,80,0.25025422832215904,0.21022615039386017,0.6995160852906308
ml_clean_swap_resource,oof_fold_4,innings_2,283,0.13388382142510075,0.0991809611723187,0.4136632960524388
ml_clean_swap_resource,oof_fold_4,innings_2_powerplay,80,0.18362692915075737,0.12482332746377525,0.544617739064237
ml_clean_swap_resource,oof_fold_4,innings_2_middle,140,0.12411044479446005,0.11173987161660252,0.39051457378286236
ml_clean_swap_resource,oof_fold_4,innings_2_death,63,0.09243658507965893,0.14811543076654507,0.29881354489048395
